Gaussian Function_0_0,x + tan(x),tensor(0.1107),-63.52581094175406
Gaussian Function_1_3,x*(cos(1) + 4),tensor(0.0653),-203.59508169906132
Gaussian Function_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085a60>>
Gaussian Function_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085460>>
Gaussian Function_1_6,exp(x + 3),tensor(0.0078),-16253.170111991185
Gaussian Function_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40857f0>>
Gaussian Function_1_8,x**2 + sin(x),tensor(0.1970),-15.619212535775333
Gaussian Function_1_9,exp(x/2),tensor(0.3021),-4.336669808620142
Gaussian Function_1_10,x/3,tensor(0.2003),-14.935774780754302
Gaussian Function_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2606e820>>
Gaussian Function_1_12,2*x**2 + x,tensor(0.1751),-21.200097265517766
Gaussian Function_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f060661c0>>
Gaussian Function_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582d29a0>>
Gaussian Function_1_15,(x + 1)/x,tensor(0.0135),-5371.889038865839
Gaussian Function_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582d25e0>>
Gaussian Function_1_17,6*x**2,tensor(0.0762),-145.87766865094972
Gaussian Function_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840eac10>>
Gaussian Function_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ea970>>
Gaussian Function_1_20,2*x,tensor(0.1207),-52.06989647040857
Gaussian Function_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05b5bb50>>
Gaussian Function_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840eaaf0>>
Gaussian Function_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ea9a0>>
Gaussian Function_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ea790>>
Gaussian Function_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ea8e0>>
Gaussian Function_1_26,3*x + 1/3,tensor(0.0970),-85.59393615923358
Gaussian Function_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8403dca0>>
Gaussian Function_1_28,x**2 + acosh(x),tensor(0.),0
Gaussian Function_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582415b0>>
Gaussian Function_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641c20d0>>
Gaussian Function_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641c2b50>>
Gaussian Function_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641c2130>>
Gaussian Function_1_33,2,tensor(0.),0
Gaussian Function_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419be50>>
Gaussian Function_1_35,(x + 3)/x,tensor(0.0045),-48345.69501299374
Gaussian Function_1_36,x**3 + tan(x),tensor(0.1234),-49.45435692849758
Gaussian Function_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07f280>>
Gaussian Function_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07fd60>>
Gaussian Function_1_39,x*(x + 1),tensor(0.1900),-17.18048292977211
Gaussian Function_1_40,x*log(2),tensor(0.1836),-18.775878643789074
Gaussian Function_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07f100>>
Gaussian Function_1_42,2*x*(x + 3),tensor(0.0529),-319.91383899284955
Gaussian Function_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07fd30>>
Gaussian Function_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641c2190>>
Gaussian Function_1_45,x**4,tensor(0.2244),-10.942935234444082
Gaussian Function_1_46,2*x**2*exp(x),tensor(0.1331),-41.448382192981285
Gaussian Function_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740b50>>
Gaussian Function_1_48,x/2,tensor(0.1932),-16.428585091295663
Gaussian Function_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58241b20>>
Gaussian Function_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582d2c70>>
Gaussian Function_1_51,sin(2*x)**3,tensor(0.1594),-26.79055369869077
Gaussian Function_1_52,x**2*exp(2*x),tensor(0.1106),-63.70978343693457
Gaussian Function_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582d2280>>
Gaussian Function_1_54,x**2*(2 - x),tensor(0.1780),-20.33973945375039
Gaussian Function_1_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085d60>>
Gaussian Function_1_56,-sin(2*x),tensor(0.1585),-27.18919920161536
Gaussian Function_1_57,sin(x)/2,tensor(0.1955),-15.941802551928216
Gaussian Function_1_58,6*x**3,tensor(0.0739),-155.87196498257038
Gaussian Function_1_59,x*(2*x + 1),tensor(0.1751),-21.200097265517766
Gaussian Function_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d34c0>>
Gaussian Function_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584536d0>>
Gaussian Function_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453700>>
Gaussian Function_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584535b0>>
Gaussian Function_1_64,x + cos(x),tensor(0.2528),-7.737950880015781
Gaussian Function_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453250>>
Gaussian Function_1_66,x**2*(x + cos(x)),tensor(0.2156),-12.239287696551562
Gaussian Function_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584b2b20>>
Gaussian Function_1_68,x + cosh(x) + 1,tensor(0.1146),-58.69043625288585
Gaussian Function_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07f850>>
Gaussian Function_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40b05e0>>
Gaussian Function_1_71,x**2/2,tensor(0.2338),-9.74575871447596
Gaussian Function_1_72,-x + tanh(x),tensor(0.2085),-13.416977733004071
Gaussian Function_1_73,42*x*exp(x) + x,tensor(0.0053),-34613.024131672544
Gaussian Function_1_74,x**2*sin(2),tensor(0.2428),-8.721822465302111
Gaussian Function_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419bbb0>>
Gaussian Function_1_76,asin(x),tensor(0.1575),-27.593091170528748
Gaussian Function_1_77,log(2)/2,tensor(0.),0
Gaussian Function_1_78,sin(x + 3),tensor(0.1987),-15.272276447218353
Gaussian Function_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085490>>
Gaussian Function_1_80,x + sin(4),tensor(0.1073),-68.28838940566303
Gaussian Function_1_81,x/sin(x),tensor(0.3233),-3.3825026005185377
Gaussian Function_1_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d30d0>>
Gaussian Function_1_83,x + sin(3*x),tensor(0.1162),-56.80373078519224
Gaussian Function_1_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06223940>>
Gaussian Function_1_85,-x + sin(x),tensor(0.2088),-13.36698399912171
Gaussian Function_1_86,x + cos(4),tensor(0.1131),-60.54165037412873
Gaussian Function_1_87,2*x,tensor(0.1207),-52.06989647040857
Gaussian Function_1_88,-x**2,tensor(0.1548),-28.830361197004997
Gaussian Function_1_89,3*cosh(x),tensor(0.0643),-210.94791338677655
Gaussian Function_1_90,sin(2*x + 5),tensor(0.1311),-42.94539489181743
Gaussian Function_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58241400>>
Gaussian Function_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58241190>>
Gaussian Function_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582413a0>>
Gaussian Function_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740940>>
Gaussian Function_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740d00>>
Gaussian Function_1_96,x**4 + 3*x,tensor(0.0943),-91.35235407278984
Gaussian Function_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583df6d0>>
Gaussian Function_1_98,x*asinh(x) + x,tensor(0.1901),-17.150726151687742
Gaussian Function_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8403d880>>
Gaussian Function_1_100,2*x**2,tensor(0.2013),-14.75179352222902
Gaussian Function_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740970>>
Gaussian Function_1_102,x*sin(1),tensor(0.1756),-21.028317923304762
Gaussian Function_1_103,5*asinh(x),tensor(0.0645),-209.4922493730519
Gaussian Function_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd280>>
Gaussian Function_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd700>>
Gaussian Function_1_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd940>>
Gaussian Function_1_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd580>>
Gaussian Function_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd9d0>>
Gaussian Function_1_109,x + Abs(x),tensor(0.2054),-13.96118939581289
Gaussian Function_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd370>>
Gaussian Function_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd1f0>>
Gaussian Function_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bdca0>>
Gaussian Function_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bde50>>
Gaussian Function_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453ca0>>
Gaussian Function_1_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453ac0>>
Gaussian Function_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453c40>>
Gaussian Function_1_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584536a0>>
Gaussian Function_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453e50>>
Gaussian Function_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453d30>>
Gaussian Function_1_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453190>>
Gaussian Function_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ea6a0>>
Gaussian Function_1_122,x**2*(x + 1),tensor(0.2163),-12.12877883190527
Gaussian Function_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840ead30>>
Gaussian Function_1_124,4*sin(x),tensor(0.0789),-135.12508661115538
Gaussian Function_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840eaa90>>
Gaussian Function_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07fc10>>
Gaussian Function_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e07ffd0>>
Gaussian Function_2_0,9*x**5/5,tensor(0.1719),-22.19604004697114
Gaussian Function_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583df340>>
Gaussian Function_2_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5831bc40>>
Gaussian Function_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5831bfa0>>
Gaussian Function_2_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5831b040>>
Gaussian Function_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073a60>>
Gaussian Function_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073d30>>
Gaussian Function_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073b20>>
Gaussian Function_2_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073ac0>>
Gaussian Function_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073160>>
Gaussian Function_2_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64073fa0>>
Gaussian Function_2_11,x**2*(x + sin(x)),tensor(0.1551),-28.681997811153483
Gaussian Function_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8403d190>>
Gaussian Function_2_13,x**2 + 4*x,tensor(0.0755),-149.09772240235674
Gaussian Function_2_14,(x + 4)/sqrt(x),tensor(0.),0
Gaussian Function_2_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8403de80>>
Gaussian Function_2_16,x*(x*exp(x) + 3),tensor(0.0812),-126.99831380574638
Gaussian Function_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419b790>>
Gaussian Function_2_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419baf0>>
Gaussian Function_2_19,tan(x/5),tensor(0.2046),-14.105322249047624
Gaussian Function_2_20,1 - x,tensor(0.2163),-12.127283625686623
Gaussian Function_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d3e50>>
Gaussian Function_2_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d38b0>>
Gaussian Function_2_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d3ca0>>
Gaussian Function_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d31f0>>
Gaussian Function_2_25,x*(x + 1)**2,tensor(0.1448),-33.89918814037795
Gaussian Function_2_26,x*(x + 1)**2,tensor(0.1448),-33.89918814037795
Gaussian Function_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582d25b0>>
Gaussian Function_2_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2606e2b0>>
Gaussian Function_2_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2606eeb0>>
Gaussian Function_2_30,-log(cos(x)) + atan(x),tensor(0.1929),-16.509583367207647
Gaussian Function_2_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085970>>
Gaussian Function_2_32,2*x + cos(2),tensor(0.1034),-74.18418551812529
Gaussian Function_2_33,x,tensor(0.1670),-23.8678185008185
Gaussian Function_2_34,(x + sin(x))**2,tensor(0.1291),-44.541645209993916
