Gaussian Function_0_0,x + tan(x),tensor(0.1150),-58.27104947249592
Gaussian Function_0_40,x**3 + sin(x),tensor(0.1455),-33.486819816379594
Gaussian Function_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc19a0a0>>
Gaussian Function_0_42,atan(x),tensor(0.1793),-19.964099495301255
Gaussian Function_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc487a90>>
Gaussian Function_0_44,x - sin(x),tensor(0.2077),-13.555831091139495
Gaussian Function_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012ffa0>>
Gaussian Function_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cdb340>>
Gaussian Function_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1e0730>>
Gaussian Function_0_48,4*asin(x),tensor(0.0656),-201.72405964957892
Gaussian Function_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fa190>>
Gaussian Function_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ff490>>
Gaussian Function_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ff8b0>>
Gaussian Function_0_52,x**2*exp(2*x),tensor(0.1078),-67.5359027463776
Gaussian Function_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ffe80>>
Gaussian Function_0_54,tan(x + 2),tensor(0.0025),-160939.17248220622
Gaussian Function_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990169e80>>
Gaussian Function_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c3a0>>
Gaussian Function_0_57,x - sin(x),tensor(0.2077),-13.555831091139495
Gaussian Function_0_58,tan(x) + asinh(x),tensor(0.1177),-55.243417970280014
Gaussian Function_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ada30>>
Gaussian Function_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f695814a4c0>>
Gaussian Function_0_61,-cosh(x),tensor(0.0953),-89.11591576283085
Gaussian Function_0_62,x**4 + x + tan(x),tensor(0.1179),-55.01519738460226
Gaussian Function_0_63,sinh(x)/2,tensor(0.1941),-16.24138673339897
Gaussian Function_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc15f3a0>>
Gaussian Function_0_65,x + cos(x) + 1,tensor(0.1417),-35.67241522281251
Gaussian Function_0_66,x**2 + tan(x),tensor(0.1700),-22.829089944993324
Gaussian Function_0_67,sin(x),tensor(0.1768),-20.682368852168267
Gaussian Function_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b6220>>
Gaussian Function_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990173160>>
Gaussian Function_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901731f0>>
Gaussian Function_0_71,x + atan(x),tensor(0.1309),-43.064352471544005
Gaussian Function_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29be9d0>>
Gaussian Function_0_73,sin(x),tensor(0.1768),-20.682368852168267
Gaussian Function_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1de53a0>>
Gaussian Function_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6169a0>>
Gaussian Function_0_76,sin(x + 4),tensor(0.1231),-49.78254092566513
Gaussian Function_0_77,x*(x**3 + x),tensor(0.2060),-13.861249825897511
Gaussian Function_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580fc9d0>>
Gaussian Function_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c7bb0>>
Gaussian Function_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6cc730>>
Gaussian Function_0_81,x*cos(2),tensor(0.2018),-14.642938603413066
Gaussian Function_0_82,x + atanh(x),tensor(0.1081),-67.03712596886332
Gaussian Function_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1da6c40>>
Gaussian Function_0_84,sin(x) + cos(x),tensor(0.2743),-5.9964937875793956
Gaussian Function_0_85,x**7/7,tensor(0.2082),-13.464677240889586
Gaussian Function_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4580>>
Gaussian Function_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44cb20>>
Gaussian Function_0_88,x**3/16,tensor(0.2083),-13.44675491923001
Gaussian Function_0_89,2*sin(x),tensor(0.1329),-41.56547324865876
Gaussian Function_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc616160>>
Gaussian Function_0_91,x**2*cos(1),tensor(0.2334),-9.792826451379366
Gaussian Function_0_92,sin(x),tensor(0.1768),-20.682368852168267
Gaussian Function_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc11cbb0>>
Gaussian Function_0_94,log(x + 3),tensor(0.3223),-3.4200114964059
Gaussian Function_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25485b0>>
Gaussian Function_0_96,x + cos(4),tensor(0.1161),-56.96560274829106
Gaussian Function_0_97,sin(x) + cos(x),tensor(0.2743),-5.9964937875793956
Gaussian Function_0_98,sin(x),tensor(0.1768),-20.682368852168267
Gaussian Function_0_99,x + exp(-3),tensor(0.1775),-20.47139505202675
Gaussian Function_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280bfbb0>>
Gaussian Function_0_101,x*(x + tanh(x)),tensor(0.2136),-12.559144472005999
Gaussian Function_0_102,-5*x + exp(x),tensor(0.0786),-136.31383406116544
Gaussian Function_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85040>>
Gaussian Function_0_104,2*x**3/3 + sin(x),tensor(0.1557),-28.424684305792198
Gaussian Function_0_105,tan(2*x),tensor(0.0007),-2223199.3727823095
Gaussian Function_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25a9700>>
Gaussian Function_0_107,2 - 2*x,tensor(0.1030),-74.7886341631794
Gaussian Function_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c854c0>>
Gaussian Function_0_109,x/2,tensor(0.1963),-15.753126685327821
Gaussian Function_0_110,x + sin(3),tensor(0.1886),-17.50486611011849
Gaussian Function_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5e4f10>>
Gaussian Function_0_112,x**3/9 + sin(x),tensor(0.1733),-21.7522033196657
Gaussian Function_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc487130>>
Gaussian Function_0_114,atan(3*x),tensor(0.1418),-35.60188190822854
Gaussian Function_0_115,x + cos(2*x),tensor(0.2204),-11.51295282627468
Gaussian Function_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82af0>>
Gaussian Function_0_117,2*x*sin(x),tensor(0.2169),-12.029441857942395
Gaussian Function_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280bf5b0>>
Gaussian Function_0_119,x*sin(1),tensor(0.1800),-19.745806820233984
Gaussian Function_0_120,exp(x) + asinh(x),tensor(0.1357),-39.57322707054269
Gaussian Function_0_121,sinh(x)/4,tensor(0.2042),-14.191096569139656
Gaussian Function_0_122,x + cos(x)**2,tensor(0.2566),-7.394231065441369
Gaussian Function_0_123,x,tensor(0.1717),-22.259999443477064
Gaussian Function_0_124,(x - 1)*sin(x),tensor(0.1971),-15.586118329519376
Gaussian Function_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980af1c0>>
Gaussian Function_0_126,x**2,tensor(0.2400),-9.025689005438945
Gaussian Function_0_127,x*sin(x) + x,tensor(0.1904),-17.079446101918986
Gaussian Function_1_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69f81b5ca0>>
Gaussian Function_1_1,x/4,tensor(0.2049),-14.062285689619271
Gaussian Function_1_2,x*cos(1),tensor(0.1946),-16.12321057048618
Gaussian Function_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011aac0>>
Gaussian Function_1_4,x/(x**2 + x),tensor(0.0241),-1639.7558504715412
Gaussian Function_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c640>>
Gaussian Function_1_6,2*x + sin(x),tensor(0.0973),-85.14147181631984
Gaussian Function_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c160>>
Gaussian Function_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c8e0>>
Gaussian Function_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c3a0>>
Gaussian Function_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c2e0>>
Gaussian Function_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c400>>
Gaussian Function_1_12,-x*exp(x) + x,tensor(0.1509),-30.665875606297273
Gaussian Function_1_13,(2*x**2 + x)*exp(x),tensor(0.0853),-114.03475673295843
Gaussian Function_1_14,x**2/2 + x*cos(x),tensor(0.2026),-14.498404056427967
Gaussian Function_1_15,asin(2*x + 2),tensor(0.),0
Gaussian Function_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056610>>
Gaussian Function_1_17,16*x**4,tensor(0.0381),-635.5510062312993
Gaussian Function_1_18,x**2*asin(x),tensor(0.1813),-19.39052146865002
Gaussian Function_1_19,exp(x + 4),tensor(0.0028),-127058.21441069474
Gaussian Function_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44cc40>>
Gaussian Function_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056100>>
Gaussian Function_1_22,4*x + asin(x),tensor(0.0606),-239.40280818574172
Gaussian Function_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138b80>>
Gaussian Function_1_24,x**3 + x + 1,tensor(0.1699),-22.883273342949558
Gaussian Function_1_25,x - cos(x),tensor(0.1046),-72.21744308823054
Gaussian Function_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998371880>>
Gaussian Function_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065f10>>
Gaussian Function_1_28,x*(2*x + 2),tensor(0.1265),-46.67685232927065
Gaussian Function_1_29,2*x*(x + 3),tensor(0.0536),-310.63911553801404
Gaussian Function_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011a250>>
Gaussian Function_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011a640>>
Gaussian Function_1_32,x,tensor(0.1717),-22.259999443477064
Gaussian Function_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011a340>>
Gaussian Function_1_34,cos(x) + 6,tensor(0.0321),-906.3155218693379
Gaussian Function_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cdb790>>
Gaussian Function_1_36,x**2*sin(2),tensor(0.2402),-9.008643548324102
Gaussian Function_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009be80>>
Gaussian Function_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187ee0>>
Gaussian Function_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187820>>
Gaussian Function_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187ac0>>
Gaussian Function_1_41,x**3 + x**2 + x,tensor(0.1506),-30.8278628037147
Gaussian Function_1_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065880>>
Gaussian Function_1_43,x/(x + 2),tensor(0.1792),-19.968037492957688
Gaussian Function_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065610>>
Gaussian Function_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f2e0>>
Gaussian Function_1_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f430>>
Gaussian Function_1_47,(x - 1)*exp(x),tensor(0.1123),-61.4755492906011
Gaussian Function_1_48,-x + exp(x),tensor(0.2623),-6.90936015695704
Gaussian Function_1_49,x*(x + 3) + 2*x,tensor(0.0634),-216.95376985742362
Gaussian Function_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46100>>
Gaussian Function_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f462b0>>
Gaussian Function_1_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46a30>>
Gaussian Function_1_53,x + cos(x),tensor(0.2553),-7.508025557873937
Gaussian Function_1_54,2*x**5 + x + 2,tensor(0.1078),-67.56345970829638
Gaussian Function_1_55,sin(log(x))/2,tensor(0.),0
Gaussian Function_1_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998225fa0>>
Gaussian Function_1_57,x**2/2 + x,tensor(0.1846),-18.510015445551044
Gaussian Function_1_58,(x + 1)**3,tensor(0.0712),-169.27101262056405
Gaussian Function_1_59,x**2*(x**3 + x),tensor(0.1634),-25.201305120736425
Gaussian Function_1_60,x**2/10,tensor(0.2138),-12.521563356130981
Gaussian Function_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f340>>
Gaussian Function_1_62,-x + cos(x),tensor(0.2519),-7.820562019425049
Gaussian Function_1_63,(2*x + 1)**2,tensor(0.0613),-233.17918870139525
Gaussian Function_1_64,asin(x),tensor(0.1623),-25.628753885751063
Gaussian Function_1_65,x*(x + atan(x)),tensor(0.2125),-12.739291322288379
Gaussian Function_1_66,x/2,tensor(0.1963),-15.753126685327821
Gaussian Function_1_67,x/(5*sin(3)),tensor(0.1505),-30.879135410179654
Gaussian Function_1_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056d90>>
Gaussian Function_1_69,x + cos(x + 3),tensor(0.1065),-69.40546195024676
Gaussian Function_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c700>>
Gaussian Function_1_71,1/sin(x),tensor(0.0077),-16753.82707725122
Gaussian Function_1_72,tan(cosh(x)),tensor(0.0399),-578.3483456589735
Gaussian Function_1_73,cos(x) + sinh(x),tensor(0.2372),-9.336674084751243
Gaussian Function_1_74,x**3/3 + x,tensor(0.1611),-26.11618983151907
Gaussian Function_1_75,cos(tan(2*x)),tensor(0.2006),-14.872114722310222
Gaussian Function_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138af0>>
Gaussian Function_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138730>>
Gaussian Function_1_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138a30>>
Gaussian Function_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981388b0>>
Gaussian Function_1_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138280>>
Gaussian Function_1_81,x**2 + x,tensor(0.1896),-17.275936997359562
Gaussian Function_1_82,x/(x + 3),tensor(0.1958),-15.876707812971457
Gaussian Function_1_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b850>>
Gaussian Function_1_84,x*exp(-x),tensor(0.1269),-46.32531153230444
Gaussian Function_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056c40>>
Gaussian Function_1_86,atan(x),tensor(0.1793),-19.964099495301255
Gaussian Function_1_87,x*atanh(5),tensor(0.),0
Gaussian Function_1_88,2*x**2*(x + 3),tensor(0.0757),-148.1790569335345
Gaussian Function_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011af40>>
Gaussian Function_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981873d0>>
Gaussian Function_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187610>>
Gaussian Function_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18bd90>>
Gaussian Function_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998371640>>
Gaussian Function_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998371c40>>
Gaussian Function_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983716a0>>
Gaussian Function_1_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b28234c0>>
Gaussian Function_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823f40>>
Gaussian Function_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823b50>>
Gaussian Function_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998371ee0>>
Gaussian Function_1_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998371e80>>
Gaussian Function_1_101,3*exp(x),tensor(0.0561),-282.02458518375596
Gaussian Function_1_102,log(x + 1),tensor(0.1252),-47.81366940261922
Gaussian Function_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b20657f0>>
Gaussian Function_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065820>>
Gaussian Function_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065e80>>
Gaussian Function_1_106,x*(x + acos(x)),tensor(0.1401),-36.66908497579716
Gaussian Function_1_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82220>>
Gaussian Function_1_108,x + 5,tensor(0.0451),-446.80042032240357
Gaussian Function_1_109,2*x*cos(x) + x,tensor(0.1101),-64.35085730698353
Gaussian Function_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f580>>
Gaussian Function_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012ff10>>
Gaussian Function_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fca0>>
Gaussian Function_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fb80>>
Gaussian Function_1_114,3*x/8,tensor(0.2011),-14.777489905526373
Gaussian Function_1_115,x*(x + cos(x)),tensor(0.2088),-13.357939148001421
Gaussian Function_1_116,5*x**2/2,tensor(0.1747),-21.313751712374216
Gaussian Function_1_117,sin(x)**3,tensor(0.1986),-15.292356837695266
Gaussian Function_1_118,x**3/19,tensor(0.2083),-13.439597070812665
Gaussian Function_1_119,log(x**2),tensor(0.0552),-292.19053372479215
Gaussian Function_1_120,x + atan(x),tensor(0.1309),-43.064352471544005
Gaussian Function_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6f2700>>
Gaussian Function_1_122,2*log(x)*sin(x),tensor(0.),0
Gaussian Function_1_123,x**2/16,tensor(0.2118),-12.844124396375523
Gaussian Function_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187fa0>>
Gaussian Function_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46e80>>
Gaussian Function_1_126,5*x**4/2,tensor(0.1869),-17.935890328329936
Gaussian Function_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f370>>
Gaussian Function_2_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6f23a0>>
Gaussian Function_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693f70>>
Gaussian Function_2_2,4*x*exp(4*x),tensor(0.0043),-53697.77709610182
Gaussian Function_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693ac0>>
Gaussian Function_2_4,x**3*asinh(x),tensor(0.2239),-11.011370407794757
Gaussian Function_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cb7850>>
Gaussian Function_2_6,x*sin(tan(x + 3)),tensor(0.2405),-8.9699935755621
Gaussian Function_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693df0>>
Gaussian Function_2_8,-exp(-x/2),tensor(0.0998),-80.37431524894725
Gaussian Function_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693fa0>>
Gaussian Function_2_10,x*cosh(2),tensor(0.0794),-133.30128581893928
Gaussian Function_2_11,2*x**3/3,tensor(0.1990),-15.210459448796978
Gaussian Function_2_12,acos(x)**3,tensor(0.0233),-1761.1096494341866
Gaussian Function_2_13,x*exp(2*x),tensor(0.0951),-89.605718763312
Gaussian Function_2_14,x*(x + 1) + x,tensor(0.1321),-42.19386907851833
Gaussian Function_2_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44cd30>>
Gaussian Function_2_16,-log(cos(x)) + atan(x),tensor(0.1946),-16.11907662874872
Gaussian Function_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c610>>
Gaussian Function_2_18,-3*x + tan(3),tensor(0.0939),-92.1265901567255
Gaussian Function_2_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998172fd0>>
Gaussian Function_2_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981727c0>>
Gaussian Function_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998172970>>
Gaussian Function_2_22,1/(x + 3),tensor(0.3086),-4.018057340242444
Gaussian Function_2_23,x**2*(2*x + 2),tensor(0.1566),-28.02709732717101
Gaussian Function_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82f70>>
Gaussian Function_2_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009bdf0>>
Gaussian Function_2_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e009b190>>
Gaussian Function_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c2b0>>
Gaussian Function_2_28,asin(x + 1),tensor(0.),0
Gaussian Function_2_29,x**3,tensor(0.1895),-17.30007948222684
Gaussian Function_2_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138850>>
Gaussian Function_2_31,-6*x**2 + x,tensor(0.0579),-263.50044029788313
Gaussian Function_2_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823a60>>
Gaussian Function_2_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18bc40>>
Gaussian Function_2_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b280>>
Gaussian Function_2_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18bca0>>
Gaussian Function_2_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b220>>
Gaussian Function_2_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18bbb0>>
Gaussian Function_2_38,x**9/9 + sin(x),tensor(0.1753),-21.135616821606344
