prefix,expression,term_count,constant_count,operator_count,epoch_90,best_reward,mean_reward,top_reward
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x div INT+ 3 INT+ 2,2*x**(3/2)/3 + x**2/2,4,2,5
Y pow x div INT+ 3 INT+ 2,x**(3/2),1,0,1
Y mul div INT+ 2 INT+ 5 pow x div INT+ 5 INT+ 2,2*x**(5/2)/5,2,1,2
Y mul x add INT+ 1 x,x*(x + 1),3,1,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 + x**2/2,4,2,5
Y add x mul INT- 1 pow x INT+ 2,-x**2 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT- 1 INT+ 3 pow x INT+ 3,-x**3/3 + x**2/2,4,2,5
Y add x exp x,x + exp(x),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 exp x,x**2/2 + exp(x),3,1,4
Y mul INT+ 4 pow x INT+ 3,4*x**3,2,1,2
Y pow x INT+ 4,x**4,1,0,1
Y add x tan x,x + tan(x),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul INT- 1 ln cos x,x**2/2 - log(cos(x)),4,2,5
Y add x sin x,x + sin(x),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul INT- 1 cos x,x**2/2 - cos(x),4,2,5
Y add x cos x,x + cos(x),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 sin x,x**2/2 + sin(x),3,1,4
Y mul INT- 1 pow x INT+ 2,-x**2,2,1,2
Y mul div INT- 1 INT+ 3 pow x INT+ 3,-x**3/3,2,1,2
Y add pow x INT+ 2 mul INT- 1 x,x**2 - x,3,1,3
Y add mul div INT- 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 - x**2/2,4,2,5
Y add pow x INT+ 2 mul INT+ 3 x,x**2 + 3*x,3,1,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 3 INT+ 2 pow x INT+ 2,x**3/3 + 3*x**2/2,4,2,5
Y mul INT+ 2 pow x INT- 1,2/x,2,1,2
Y mul INT+ 2 ln x,2*log(x),2,1,2
Y add sqrt x mul INT+ 2 x,sqrt(x) + 2*x,3,1,3
Y add pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x div INT+ 3 INT+ 2,2*x**(3/2)/3 + x**2,3,1,4
Y mul INT+ 5 pow x INT+ 2,5*x**2,2,1,2
Y mul div INT+ 5 INT+ 3 pow x INT+ 3,5*x**3/3,2,1,2
Y add mul INT+ 2 x ln x,2*x + log(x),3,1,3
Y add pow x INT+ 2 add mul INT- 1 x mul x ln x,x**2 + x*log(x) - x,5,1,5
Y add mul INT+ 2 x tan x,2*x + tan(x),3,1,3
Y add pow x INT+ 2 mul INT- 1 ln cos x,x**2 - log(cos(x)),3,1,4
Y add mul INT+ 2 x cos x,2*x + cos(x),3,1,3
Y add pow x INT+ 2 sin x,x**2 + sin(x),2,0,3
Y add mul INT+ 2 x sin x,2*x + sin(x),3,1,3
Y add pow x INT+ 2 mul INT- 1 cos x,x**2 - cos(x),3,1,4
Y mul x exp x,x*exp(x),2,0,2
Y mul add INT- 1 x exp x,(x - 1)*exp(x),3,1,3
Y add pow x INT+ 3 mul INT+ 2 x,x**3 + 2*x,3,1,3
Y add pow x INT+ 2 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 + x**2,3,1,4
Y mul INT+ 4 x,4*x,2,1,1
Y mul INT+ 2 pow x INT+ 2,2*x**2,2,1,2
Y mul div INT+ 1 INT+ 2 pow x INT- 1,1/(2*x),2,1,2
Y mul div INT+ 1 INT+ 2 ln x,log(x)/2,2,1,2
Y mul pow x INT+ 2 exp x,x**2*exp(x),2,0,3
Y mul add INT+ 2 add pow x INT+ 2 mul INT- 2 x exp x,(x**2 - 2*x + 2)*exp(x),5,2,5
Y add x mul INT+ 4 pow x INT+ 2,4*x**2 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 4 INT+ 3 pow x INT+ 3,4*x**3/3 + x**2/2,4,2,5
Y mul pow x INT+ 2 cos x,x**2*cos(x),2,0,3
Y add mul INT- 2 sin x add mul pow x INT+ 2 sin x mul INT+ 2 mul x cos x,x**2*sin(x) + 2*x*cos(x) - 2*sin(x),7,2,8
Y mul pow x INT+ 2 ln x,x**2*log(x),2,0,3
Y add mul div INT- 1 INT+ 9 pow x INT+ 3 mul div INT+ 1 INT+ 3 mul pow x INT+ 3 ln x,x**3*log(x)/3 - x**3/9,5,2,6
Y mul pow x INT+ 2 sin x,x**2*sin(x),2,0,3
Y add mul INT+ 2 cos x add mul INT- 1 mul pow x INT+ 2 cos x mul INT+ 2 mul x sin x,-x**2*cos(x) + 2*x*sin(x) + 2*cos(x),8,3,8
Y add INT+ 1 mul INT+ 2 x,2*x + 1,3,2,2
Y add x pow x INT+ 2,x**2 + x,2,0,2
Y mul x cos x,x*cos(x),2,0,2
Y add mul x sin x cos x,x*sin(x) + cos(x),3,0,4
Y mul x ln x,x*log(x),2,0,2
Y add mul div INT- 1 INT+ 4 pow x INT+ 2 mul div INT+ 1 INT+ 2 mul pow x INT+ 2 ln x,x**2*log(x)/2 - x**2/4,5,2,6
Y mul x sin x,x*sin(x),2,0,2
Y add mul INT- 1 mul x cos x sin x,-x*cos(x) + sin(x),4,1,4
Y mul INT+ 3 pow x INT+ 3,3*x**3,2,1,2
Y mul div INT+ 3 INT+ 4 pow x INT+ 4,3*x**4/4,2,1,2
Y pow x INT+ 4,x**4,1,0,1
Y mul div INT+ 1 INT+ 5 pow x INT+ 5,x**5/5,2,1,2
Y mul INT+ 5 x,5*x,2,1,1
Y mul div INT+ 5 INT+ 2 pow x INT+ 2,5*x**2/2,2,1,2
Y mul INT+ 2 pow x INT+ 4,2*x**4,2,1,2
Y mul div INT+ 2 INT+ 5 pow x INT+ 5,2*x**5/5,2,1,2
Y add mul INT+ 2 x mul INT+ 2 pow x INT+ 2,2*x**2 + 2*x,4,2,4
Y add pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 + x**2,3,1,4
Y mul INT+ 6 pow x INT+ 2,6*x**2,2,1,2
Y mul INT+ 2 pow x INT+ 3,2*x**3,2,1,2
Y add mul INT- 1 pow x INT+ 2 mul INT+ 2 x,-x**2 + 2*x,4,2,4
Y add pow x INT+ 2 mul div INT- 1 INT+ 3 pow x INT+ 3,-x**3/3 + x**2,3,1,4
Y mul div INT+ 1 INT+ 3 x,x/3,2,1,1
Y mul div INT+ 1 INT+ 6 pow x INT+ 2,x**2/6,2,1,2
Y mul div INT+ 1 INT+ 2 pow x INT+ 2,x**2/2,2,1,2
Y mul div INT+ 1 INT+ 6 pow x INT+ 3,x**3/6,2,1,2
Y mul div INT+ 1 INT+ 4 x,x/4,2,1,1
Y mul div INT+ 1 INT+ 8 pow x INT+ 2,x**2/8,2,1,2
Y exp mul INT+ 2 x,exp(2*x),1,0,1
Y mul div INT+ 1 INT+ 2 exp mul INT+ 2 x,exp(2*x)/2,2,1,2
Y add x mul INT+ 3 pow x INT+ 2,3*x**2 + x,3,1,3
Y add pow x INT+ 3 mul div INT+ 1 INT+ 2 pow x INT+ 2,x**3 + x**2/2,3,1,4
Y add x pow x div INT+ 3 INT+ 2,x**(3/2) + x,2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 5 pow x div INT+ 5 INT+ 2,2*x**(5/2)/5 + x**2/2,4,2,5
Y mul div INT+ 1 INT+ 5 x,x/5,2,1,1
Y mul div INT+ 1 INT+ 1 0 pow x INT+ 2,x**2/10,2,1,2
Y mul INT+ 3 pow x INT- 1,3/x,2,1,2
Y mul INT+ 3 ln x,3*log(x),2,1,2
Y pow x INT- 1,1/x,1,0,1
Y ln x,log(x),1,0,1
Y mul INT+ 5 pow x INT+ 3,5*x**3,2,1,2
Y mul div INT+ 5 INT+ 4 pow x INT+ 4,5*x**4/4,2,1,2
Y mul INT- 1 x,-x,2,1,1
Y mul div INT- 1 INT+ 2 pow x INT+ 2,-x**2/2,2,1,2
Y mul sqrt INT+ 2 sqrt x,sqrt(2)*sqrt(x),2,1,2
Y mul div INT+ 2 INT+ 3 mul sqrt INT+ 2 pow x div INT+ 3 INT+ 2,2*sqrt(2)*x**(3/2)/3,3,2,2
Y add INT+ 1 x,x + 1,2,1,1
Y add x mul div INT+ 1 INT+ 2 pow x INT+ 2,x**2/2 + x,3,1,3
Y mul INT+ 5 pow x INT- 1,5/x,2,1,2
Y mul INT+ 5 ln x,5*log(x),2,1,2
Y add x mul x exp x,x*exp(x) + x,3,0,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul add INT- 1 x exp x,x**2/2 + (x - 1)*exp(x),5,2,6
Y ln pow x INT+ 2,log(x**2),1,0,1
Y add mul INT- 2 x mul x ln pow x INT+ 2,x*log(x**2) - 2*x,4,1,4
Y add x mul x cos x,x*cos(x) + x,3,0,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 add mul x sin x cos x,x**2/2 + x*sin(x) + cos(x),5,1,6
Y add x mul x ln x,x*log(x) + x,3,0,3
Y add mul div INT+ 1 INT+ 4 pow x INT+ 2 mul div INT+ 1 INT+ 2 mul pow x INT+ 2 ln x,x**2*log(x)/2 + x**2/4,5,2,6
Y mul INT+ 4 pow x INT+ 4,4*x**4,2,1,2
Y mul div INT+ 4 INT+ 5 pow x INT+ 5,4*x**5/5,2,1,2
Y mul pow x INT+ 2 add INT+ 1 x,x**2*(x + 1),3,1,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 + x**3/3,4,2,5
Y mul pow x INT- 1 add x pow x INT+ 2,(x**2 + x)/x,3,0,4
Y add x mul div INT+ 1 INT+ 2 pow x INT+ 2,x**2/2 + x,3,1,3
Y pow x INT+ 5,x**5,1,0,1
Y mul div INT+ 1 INT+ 6 pow x INT+ 6,x**6/6,2,1,2
Y mul x pow add x pow x INT+ 2 INT- 1,x/(x**2 + x),2,0,2
Y ln add INT+ 1 x,log(x + 1),1,0,1
Y mul x add x sqrt x,x*(sqrt(x) + x),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 2 INT+ 5 pow x div INT+ 5 INT+ 2,2*x**(5/2)/5 + x**3/3,4,2,5
Y mul x add x pow x INT+ 3,x*(x**3 + x),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 5 pow x INT+ 5,x**5/5 + x**3/3,4,2,5
Y mul x add x exp x,x*(x + exp(x)),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul add INT- 1 x exp x,x**3/3 + (x - 1)*exp(x),5,2,6
Y mul x add x sin x,x*(x + sin(x)),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 add mul INT- 1 mul x cos x sin x,x**3/3 - x*cos(x) + sin(x),6,2,6
Y mul x add x cos x,x*(x + cos(x)),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 add mul x sin x cos x,x**3/3 + x*sin(x) + cos(x),5,1,6
Y mul x add x ln x,x*(x + log(x)),3,0,3
Y add mul div INT- 1 INT+ 4 pow x INT+ 2 add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 2 mul pow x INT+ 2 ln x,x**3/3 + x**2*log(x)/2 - x**2/4,7,3,8
Y mul x add INT+ 1 mul INT+ 2 x,x*(2*x + 1),4,2,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 + x**2/2,4,2,5
Y mul INT+ 8 pow x INT+ 2,8*x**2,2,1,2
Y mul div INT+ 8 INT+ 3 pow x INT+ 3,8*x**3/3,2,1,2
Y cos mul INT+ 2 x,cos(2*x),1,0,1
Y mul div INT+ 1 INT+ 2 sin mul INT+ 2 x,sin(2*x)/2,2,1,2
Y add x mul INT- 1 pow x INT+ 3,-x**3 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT- 1 INT+ 4 pow x INT+ 4,-x**4/4 + x**2/2,4,2,5
Y sin mul INT+ 2 x,sin(2*x),1,0,1
Y mul div INT- 1 INT+ 2 cos mul INT+ 2 x,-cos(2*x)/2,2,1,2
Y ln mul INT+ 2 x,log(2*x),1,0,1
Y add mul INT- 1 x mul x ln mul INT+ 2 x,x*log(2*x) - x,4,1,4
Y tan mul INT+ 2 x,tan(2*x),1,0,1
Y mul div INT- 1 INT+ 2 ln cos mul INT+ 2 x,-log(cos(2*x))/2,2,1,2
Y mul INT+ 2 pow x div INT+ 3 INT+ 2,2*x**(3/2),2,1,2
Y mul div INT+ 4 INT+ 5 pow x div INT+ 5 INT+ 2,4*x**(5/2)/5,2,1,2
Y mul x add INT+ 2 x,x*(x + 2),3,1,2
Y add pow x INT+ 2 mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 + x**2,3,1,4
Y add pow x INT+ 3 mul INT- 1 x,x**3 - x,3,1,3
Y add mul div INT- 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 - x**2/2,4,2,5
Y add x mul INT+ 2 pow x INT+ 3,2*x**3 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 2 pow x INT+ 4,x**4/2 + x**2/2,4,2,5
Y add x pow x INT+ 5,x**5 + x,2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 6 pow x INT+ 6,x**6/6 + x**2/2,4,2,5
Y mul pow x INT+ 2 add x pow x INT+ 2,x**2*(x**2 + x),3,0,4
Y add mul div INT+ 1 INT+ 4 pow x INT+ 4 mul div INT+ 1 INT+ 5 pow x INT+ 5,x**5/5 + x**4/4,4,2,5
Y pow x div INT- 1 INT+ 2,1/sqrt(x),1,0,1
Y mul INT+ 2 sqrt x,2*sqrt(x),2,1,2
Y acos x,acos(x),1,0,1
Y add mul INT- 1 sqrt add INT+ 1 mul INT- 1 pow x INT+ 2 mul x acos x,x*acos(x) - sqrt(1 - x**2),4,1,5
Y asinh x,asinh(x),1,0,1
Y add mul INT- 1 sqrt add INT+ 1 pow x INT+ 2 mul x asinh x,x*asinh(x) - sqrt(x**2 + 1),4,1,5
Y asin x,asin(x),1,0,1
Y add sqrt add INT+ 1 mul INT- 1 pow x INT+ 2 mul x asin x,x*asin(x) + sqrt(1 - x**2),3,0,4
Y cosh x,cosh(x),1,0,1
Y sinh x,sinh(x),1,0,1
Y sinh x,sinh(x),1,0,1
Y cosh x,cosh(x),1,0,1
Y acosh x,acosh(x),1,0,1
Y add mul INT- 1 sqrt add INT- 1 pow x INT+ 2 mul x acosh x,x*acosh(x) - sqrt(x**2 - 1),4,1,5
Y atan x,atan(x),1,0,1
Y add mul div INT- 1 INT+ 2 ln add INT+ 1 pow x INT+ 2 mul x atan x,x*atan(x) - log(x**2 + 1)/2,4,1,5
Y atanh x,atanh(x),1,0,1
Y add mul INT- 1 atanh x add mul x atanh x ln add INT+ 1 x,x*atanh(x) + log(x + 1) - atanh(x),5,1,6
Y tanh x,tanh(x),1,0,1
Y add x mul INT- 1 ln add INT+ 1 tanh x,x - log(tanh(x) + 1),3,1,3
Y add pow x INT+ 4 mul INT+ 2 x,x**4 + 2*x,3,1,3
Y add pow x INT+ 2 mul div INT+ 1 INT+ 5 pow x INT+ 5,x**5/5 + x**2,3,1,4
Y mul x add INT+ 5 x,x*(x + 5),3,1,2
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 5 INT+ 2 pow x INT+ 2,x**3/3 + 5*x**2/2,4,2,5
Y mul x add pow x INT+ 2 mul INT+ 2 x,x*(x**2 + 2*x),4,1,4
Y add mul div INT+ 1 INT+ 4 pow x INT+ 4 mul div INT+ 2 INT+ 3 pow x INT+ 3,x**4/4 + 2*x**3/3,4,2,5
Y mul x exp mul INT+ 2 x,x*exp(2*x),2,0,2
Y mul div INT+ 1 INT+ 4 mul add INT- 1 mul INT+ 2 x exp mul INT+ 2 x,(2*x - 1)*exp(2*x)/4,5,3,4
Y add x exp mul INT+ 2 x,x + exp(2*x),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 2 exp mul INT+ 2 x,x**2/2 + exp(2*x)/2,4,2,5
Y mul x add INT+ 3 x,x*(x + 3),3,1,2
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 3 INT+ 2 pow x INT+ 2,x**3/3 + 3*x**2/2,4,2,5
Y add INT+ 2 mul INT+ 2 x,2*x + 2,3,2,2
Y add pow x INT+ 2 mul INT+ 2 x,x**2 + 2*x,3,1,3
Y add mul INT- 1 x mul INT+ 2 pow x INT+ 2,2*x**2 - x,4,2,4
Y add mul div INT- 1 INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 - x**2/2,4,2,5
Y add pow x INT+ 2 mul INT+ 4 x,x**2 + 4*x,3,1,3
Y add mul INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 + 2*x**2,4,2,5
Y mul INT+ 2 sqrt x,2*sqrt(x),2,1,2
Y mul div INT+ 4 INT+ 3 pow x div INT+ 3 INT+ 2,4*x**(3/2)/3,2,1,2
Y mul div INT+ 1 INT+ 4 pow x INT+ 2,x**2/4,2,1,2
Y mul div INT+ 1 INT+ 1 2 pow x INT+ 3,x**3/12,2,1,2
Y exp mul INT+ 3 x,exp(3*x),1,0,1
Y mul div INT+ 1 INT+ 3 exp mul INT+ 3 x,exp(3*x)/3,2,1,2
Y add sqrt x pow x INT+ 2,sqrt(x) + x**2,2,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 2 INT+ 3 pow x div INT+ 3 INT+ 2,2*x**(3/2)/3 + x**3/3,4,2,5
Y add INT+ 4 mul INT+ 2 x,2*x + 4,3,2,2
Y add pow x INT+ 2 mul INT+ 4 x,x**2 + 4*x,3,1,3
Y mul INT+ 8 pow x INT+ 3,8*x**3,2,1,2
Y mul INT+ 2 pow x INT+ 4,2*x**4,2,1,2
Y mul INT+ 2 mul x exp x,2*x*exp(x),3,1,2
Y mul add INT- 2 mul INT+ 2 x exp x,(2*x - 2)*exp(x),4,2,4
Y mul INT+ 1 0 pow x INT+ 2,10*x**2,2,1,2
Y mul div INT+ 1 0 INT+ 3 pow x INT+ 3,10*x**3/3,2,1,2
Y add x pow x INT+ 6,x**6 + x,2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 7 pow x INT+ 7,x**7/7 + x**2/2,4,2,5
Y mul sqrt INT+ 3 sqrt x,sqrt(3)*sqrt(x),2,1,2
Y mul div INT+ 2 INT+ 3 mul sqrt INT+ 3 pow x div INT+ 3 INT+ 2,2*sqrt(3)*x**(3/2)/3,3,2,2
Y add pow x INT+ 2 pow x INT+ 3,x**3 + x**2,2,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 + x**3/3,4,2,5
Y mul INT+ 2 mul x cos x,2*x*cos(x),3,1,2
Y add mul INT+ 2 cos x mul INT+ 2 mul x sin x,2*x*sin(x) + 2*cos(x),5,2,5
Y add pow x INT+ 2 sin x,x**2 + sin(x),2,0,3
Y add mul INT- 1 cos x mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 - cos(x),4,2,5
Y add pow x INT+ 2 cos x,x**2 + cos(x),2,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 sin x,x**3/3 + sin(x),3,1,4
Y mul INT+ 2 mul x ln x,2*x*log(x),3,1,2
Y add mul div INT- 1 INT+ 2 pow x INT+ 2 mul pow x INT+ 2 ln x,x**2*log(x) - x**2/2,4,1,6
Y add pow x INT+ 2 tan x,x**2 + tan(x),2,0,3
Y add mul INT- 1 ln cos x mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 - log(cos(x)),4,2,5
Y mul INT+ 2 mul x sin x,2*x*sin(x),3,1,2
Y add mul INT+ 2 sin x mul INT- 2 mul x cos x,-2*x*cos(x) + 2*sin(x),5,2,5
Y add pow x INT+ 2 ln x,x**2 + log(x),2,0,3
Y add mul INT- 1 x add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul x ln x,x**3/3 + x*log(x) - x,6,2,6
Y add INT+ 1 pow x INT+ 2,x**2 + 1,2,1,2
Y add x mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 + x,3,1,3
Y mul div INT+ 3 INT+ 2 x,3*x/2,2,1,1
Y mul div INT+ 3 INT+ 4 pow x INT+ 2,3*x**2/4,2,1,2
Y mul pow x INT- 1 add INT+ 1 x,(x + 1)/x,3,1,3
Y add x ln x,x + log(x),2,0,2
Y add INT+ 1 mul INT+ 3 x,3*x + 1,3,2,2
Y add x mul div INT+ 3 INT+ 2 pow x INT+ 2,3*x**2/2 + x,3,1,3
Y sqrt pow x INT+ 3,sqrt(x**3),1,0,1
Y mul div INT+ 2 INT+ 5 mul x sqrt pow x INT+ 3,2*x*sqrt(x**3)/5,3,1,2
Y mul x pow add INT+ 1 x INT- 1,x/(x + 1),2,0,2
Y add x mul INT- 1 ln add INT+ 1 x,x - log(x + 1),3,1,3
Y add x ln pow x INT+ 2,x + log(x**2),2,0,2
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 add mul INT- 2 x mul x ln pow x INT+ 2,x**2/2 + x*log(x**2) - 2*x,6,2,6
Y mul x add INT+ 2 mul INT+ 2 x,x*(2*x + 2),4,2,3
Y add pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 + x**2,3,1,4
Y mul pow x INT+ 2 add INT+ 4 x,x**2*(x + 4),3,1,3
Y add mul div INT+ 1 INT+ 4 pow x INT+ 4 mul div INT+ 4 INT+ 3 pow x INT+ 3,x**4/4 + 4*x**3/3,4,2,5
Y mul x add INT+ 4 mul INT+ 2 x,x*(2*x + 4),4,2,3
Y add mul INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 + 2*x**2,4,2,5
Y mul pow x INT+ 2 add INT+ 2 x,x**2*(x + 2),3,1,3
Y add mul div INT+ 1 INT+ 4 pow x INT+ 4 mul div INT+ 2 INT+ 3 pow x INT+ 3,x**4/4 + 2*x**3/3,4,2,5
Y pow add x pow x INT+ 2 INT+ 2,(x**2 + x)**2,1,0,1
Y add mul div INT+ 1 INT+ 2 pow x INT+ 4 add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 5 pow x INT+ 5,x**5/5 + x**4/2 + x**3/3,6,3,7
Y add INT+ 4 x,x + 4,2,1,1
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul INT+ 4 x,x**2/2 + 4*x,4,2,4
Y mul x exp pow x INT+ 2,x*exp(x**2),2,0,2
Y mul div INT+ 1 INT+ 2 exp pow x INT+ 2,exp(x**2)/2,2,1,2
Y mul div INT+ 1 INT+ 2 pow x INT+ 3,x**3/2,2,1,2
Y mul div INT+ 1 INT+ 8 pow x INT+ 4,x**4/8,2,1,2
Y mul pow x INT+ 2 add INT+ 5 x,x**2*(x + 5),3,1,3
Y add mul div INT+ 1 INT+ 4 pow x INT+ 4 mul div INT+ 5 INT+ 3 pow x INT+ 3,x**4/4 + 5*x**3/3,4,2,5
Y add x mul INT- 2 pow x INT+ 2,-2*x**2 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT- 2 INT+ 3 pow x INT+ 3,-2*x**3/3 + x**2/2,4,2,5
Y add INT+ 5 mul INT+ 2 x,2*x + 5,3,2,2
Y add pow x INT+ 2 mul INT+ 5 x,x**2 + 5*x,3,1,3
Y mul div INT+ 1 INT+ 4 pow x INT- 1,1/(4*x),2,1,2
Y mul div INT+ 1 INT+ 4 ln x,log(x)/4,2,1,2
Y mul pow x INT+ 2 add INT+ 3 x,x**2*(x + 3),3,1,3
Y add pow x INT+ 3 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 + x**3,3,1,4
Y add INT+ 5 x,x + 5,2,1,1
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul INT+ 5 x,x**2/2 + 5*x,4,2,4
Y mul x tan pow x INT+ 2,x*tan(x**2),2,0,2
Y mul div INT+ 1 INT+ 4 ln add INT+ 1 pow tan pow x INT+ 2 INT+ 2,log(tan(x**2)**2 + 1)/4,2,1,2
Y mul x sin pow x INT+ 2,x*sin(x**2),2,0,2
Y mul div INT- 1 INT+ 2 cos pow x INT+ 2,-cos(x**2)/2,2,1,2
Y mul x cos pow x INT+ 2,x*cos(x**2),2,0,2
Y mul div INT+ 1 INT+ 2 sin pow x INT+ 2,sin(x**2)/2,2,1,2
Y mul INT+ 1 6 pow x INT+ 2,16*x**2,2,1,2
Y mul div INT+ 1 6 INT+ 3 pow x INT+ 3,16*x**3/3,2,1,2
