 Nguyen-5'_0_0,x + sinh(x),tensor(0.0720),-164.92207476116118
 Nguyen-5'_0_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc079af0>>
 Nguyen-5'_0_111,165*x,tensor(0.0017),-339118.91320153757
 Nguyen-5'_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a21f0>>
 Nguyen-5'_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073ee0>>
 Nguyen-5'_0_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073970>>
 Nguyen-5'_0_115,-2*x + sin(x),tensor(0.0798),-132.03730605957148
 Nguyen-5'_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc03cc70>>
 Nguyen-5'_0_117,-x + log(x)/x,tensor(0.),0
 Nguyen-5'_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa015e5b0>>
 Nguyen-5'_0_119,x**3*sin(1),tensor(0.0843),-117.08286883353837
 Nguyen-5'_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06c9a0>>
 Nguyen-5'_0_121,2*x**2 - x,tensor(0.0602),-242.43465778844566
 Nguyen-5'_0_122,x/(x + 1),tensor(0.0206),-2253.9588588230417
 Nguyen-5'_0_123,x - sinh(x),tensor(0.0850),-114.91016066528547
 Nguyen-5'_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d7280>>
 Nguyen-5'_0_125,1/(4*x),tensor(0.0237),-1700.8512882016723
 Nguyen-5'_0_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9eb0>>
 Nguyen-5'_0_127,x**2*(x**2 + x) + x,tensor(0.0709),-170.6326542660204
 Nguyen-5'_1_0,6*x + sin(x),tensor(0.0366),-692.7942241681154
 Nguyen-5'_1_1,1/6,tensor(0.),0
 Nguyen-5'_1_2,2*x - cos(x),tensor(0.1010),-78.1748968424104
 Nguyen-5'_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4970>>
 Nguyen-5'_1_4,2*x - asin(x),tensor(0.0829),-121.2382474229484
 Nguyen-5'_1_5,exp(x + 2),tensor(0.0143),-4750.326916497093
 Nguyen-5'_1_6,4*x*cos(x) + 2*sin(x),tensor(0.0488),-379.2737018112366
 Nguyen-5'_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19bdc0>>
 Nguyen-5'_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19bfd0>>
 Nguyen-5'_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19bcd0>>
 Nguyen-5'_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19bb20>>
 Nguyen-5'_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee580>>
 Nguyen-5'_1_12,x*(2*x + 1),tensor(0.0612),-234.30810576103212
 Nguyen-5'_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee4f0>>
 Nguyen-5'_1_14,x*(3*x + 5),tensor(0.0395),-591.0524355435382
 Nguyen-5'_1_15,x**2/2 + cos(x),tensor(0.0561),-281.92518124137104
 Nguyen-5'_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13aa00>>
 Nguyen-5'_1_17,4*x + asinh(x),tensor(0.0473),-405.2907587593523
 Nguyen-5'_1_18,4*x*exp(x),tensor(0.0349),-763.3041618571701
 Nguyen-5'_1_19,5*x/4,tensor(0.0800),-131.13279714568037
 Nguyen-5'_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e310>>
 Nguyen-5'_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e040>>
 Nguyen-5'_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e8b0>>
 Nguyen-5'_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7dc0>>
 Nguyen-5'_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7cd0>>
 Nguyen-5'_1_25,(x**3 + x)**2,tensor(0.0554),-289.32688445160125
 Nguyen-5'_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24ed90>>
 Nguyen-5'_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24eb50>>
 Nguyen-5'_1_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24ed60>>
 Nguyen-5'_1_29,acos(x)**2,tensor(0.0304),-1012.9575254741898
 Nguyen-5'_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24eb20>>
 Nguyen-5'_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4a30>>
 Nguyen-5'_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f49a0>>
 Nguyen-5'_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e71f0>>
 Nguyen-5'_1_34,x*cosh(2),tensor(0.0561),-282.37270875051485
 Nguyen-5'_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7d00>>
 Nguyen-5'_1_36,2*x + exp(x),tensor(0.0463),-424.07818815136994
 Nguyen-5'_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16d9a0>>
 Nguyen-5'_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395d60>>
 Nguyen-5'_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395160>>
 Nguyen-5'_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395ca0>>
 Nguyen-5'_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395670>>
 Nguyen-5'_1_42,x**2 + x + 1,tensor(0.0499),-361.310573956028
 Nguyen-5'_1_43,x**3*cosh(5),tensor(0.0058),-29440.470277565048
 Nguyen-5'_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c057b50>>
 Nguyen-5'_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c057f10>>
 Nguyen-5'_1_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0574f0>>
 Nguyen-5'_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4e50>>
 Nguyen-5'_1_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4bb0>>
 Nguyen-5'_1_49,x*cos(3) + 3,tensor(0.0331),-849.7630319114729
 Nguyen-5'_1_50,x + cos(x) + 4,tensor(0.0244),-1600.4391605491735
 Nguyen-5'_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a99d0>>
 Nguyen-5'_1_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9bb0>>
 Nguyen-5'_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9100>>
 Nguyen-5'_1_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9ee0>>
 Nguyen-5'_1_55,x*exp(x + 1),tensor(0.0449),-450.4868952571467
 Nguyen-5'_1_56,3*x,tensor(0.0630),-219.8594266531716
 Nguyen-5'_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13a5e0>>
 Nguyen-5'_1_58,-x**2 + x,tensor(0.0937),-92.46136636542806
 Nguyen-5'_1_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137b20>>
 Nguyen-5'_1_60,5*x*sin(x),tensor(0.0451),-446.4441950820838
 Nguyen-5'_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137700>>
 Nguyen-5'_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137130>>
 Nguyen-5'_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137a00>>
 Nguyen-5'_1_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137070>>
 Nguyen-5'_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1370a0>>
 Nguyen-5'_1_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1377f0>>
 Nguyen-5'_1_67,6*x**3*atan(x),tensor(0.0519),-332.9288742996957
 Nguyen-5'_1_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137040>>
 Nguyen-5'_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137ee0>>
 Nguyen-5'_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1375b0>>
 Nguyen-5'_1_71,pi*x**2/4,tensor(0.0750),-151.07089794899997
 Nguyen-5'_1_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137eb0>>
 Nguyen-5'_1_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9910>>
 Nguyen-5'_1_74,5*x/2,tensor(0.0680),-186.71785979487342
 Nguyen-5'_1_75,x,tensor(0.0819),-124.69044538667931
 Nguyen-5'_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16df70>>
 Nguyen-5'_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be8e0>>
 Nguyen-5'_1_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be910>>
 Nguyen-5'_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be3d0>>
 Nguyen-5'_1_80,x*sin(x + 4),tensor(0.0915),-97.66736968190884
 Nguyen-5'_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be490>>
 Nguyen-5'_1_82,-3*sin(x),tensor(0.0641),-212.28292584947044
 Nguyen-5'_1_83,x*log(x - 4) + x,tensor(0.),0
 Nguyen-5'_1_84,-2*x,tensor(0.0712),-168.9234043204427
 Nguyen-5'_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074400>>
 Nguyen-5'_1_86,acosh(x + 6),tensor(0.0375),-656.9978087448739
 Nguyen-5'_1_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4f40>>
 Nguyen-5'_1_88,x**2*(x + 2) + x,tensor(0.0591),-252.08167730380393
 Nguyen-5'_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395430>>
 Nguyen-5'_1_90,1,tensor(0.),0
 Nguyen-5'_1_91,x*sin(2*x),tensor(0.0694),-179.03979293920142
 Nguyen-5'_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e760>>
 Nguyen-5'_1_93,2*sqrt(x),tensor(0.),0
 Nguyen-5'_1_94,-x - 1,tensor(0.1428),-35.019214957769194
 Nguyen-5'_1_95,x + 1/log(x),tensor(0.),0
 Nguyen-5'_1_96,12*log(x),tensor(0.),0
 Nguyen-5'_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee340>>
 Nguyen-5'_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1eeb80>>
 Nguyen-5'_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1eea30>>
 Nguyen-5'_1_100,(2*x + 4)**2,tensor(0.0078),-16142.66860083299
 Nguyen-5'_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19b3d0>>
 Nguyen-5'_1_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1eeee0>>
 Nguyen-5'_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee850>>
 Nguyen-5'_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee2b0>>
 Nguyen-5'_1_105,x*(3*x + 5),tensor(0.0395),-591.0524355435382
 Nguyen-5'_1_106,x**2,tensor(0.0725),-162.67784659767776
 Nguyen-5'_1_107,4 - x,tensor(0.0276),-1236.4012987316696
 Nguyen-5'_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee160>>
 Nguyen-5'_1_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c3951c0>>
 Nguyen-5'_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395730>>
 Nguyen-5'_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395b50>>
 Nguyen-5'_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395a90>>
 Nguyen-5'_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395f40>>
 Nguyen-5'_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395d00>>
 Nguyen-5'_1_115,3*x**2 + 6*x,tensor(0.0358),-723.2201829287235
 Nguyen-5'_1_116,3*cos(x)/x,tensor(0.0021),-225662.58284735752
 Nguyen-5'_1_117,x*(x + exp(x)),tensor(0.0593),-250.22842152353726
 Nguyen-5'_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16de20>>
 Nguyen-5'_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4940>>
 Nguyen-5'_1_120,16*x**3,tensor(0.0255),-1459.7635861130632
 Nguyen-5'_1_121,x*(x + exp(4)),tensor(0.0052),-37149.46461943773
 Nguyen-5'_1_122,5*x*(x + 4),tensor(0.0135),-5357.405692959364
 Nguyen-5'_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9190>>
 Nguyen-5'_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a94f0>>
 Nguyen-5'_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e74c0>>
 Nguyen-5'_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7100>>
 Nguyen-5'_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7b20>>
 Nguyen-5'_2_0,x**2*(x + 1),tensor(0.0718),-165.99447801441428
 Nguyen-5'_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19ba00>>
 Nguyen-5'_2_2,x**2 + 1,tensor(0.0504),-353.43874029575124
 Nguyen-5'_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4640>>
 Nguyen-5'_2_4,2*x - exp(x),tensor(0.1633),-25.260225160812627
 Nguyen-5'_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16dc40>>
 Nguyen-5'_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7f10>>
 Nguyen-5'_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bedc0>>
 Nguyen-5'_2_8,4*exp(x),tensor(0.0234),-1744.808124113913
 Nguyen-5'_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bed30>>
 Nguyen-5'_2_10,x**2/2,tensor(0.0785),-136.70889782841186
 Nguyen-5'_2_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bef40>>
 Nguyen-5'_2_12,3,tensor(0.),0
 Nguyen-5'_2_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee040>>
 Nguyen-5'_2_14,x/10,tensor(0.0852),-114.40004278178708
 Nguyen-5'_2_15,1 - x,tensor(0.0548),-296.4999417455874
 Nguyen-5'_2_16,1/(6*x),tensor(0.0336),-823.9158546532228
 Nguyen-5'_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1daac0>>
 Nguyen-5'_2_18,5*x**2/8,tensor(0.0770),-142.84832640876076
