Sigmoid Function_0_0,-x*cos(x) + sin(x),tensor(0.2196),-11.628650630808414
Sigmoid Function_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26338760>>
Sigmoid Function_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0588e790>>
Sigmoid Function_0_25,3*x,tensor(0.0740),-155.47933865226
Sigmoid Function_0_26,x**2*exp(5),tensor(0.0021),-233605.18043991097
Sigmoid Function_0_27,4*x**4,tensor(0.1099),-64.60836815394906
Sigmoid Function_0_28,x*(x**2 + sin(x)),tensor(0.2598),-7.117861828981249
Sigmoid Function_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08f040>>
Sigmoid Function_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5811a430>>
Sigmoid Function_0_31,1/log(x),tensor(0.),0
Sigmoid Function_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da5fd0>>
Sigmoid Function_0_33,8*x**3,tensor(0.0439),-472.96072356614536
Sigmoid Function_0_34,x/tan(2),tensor(0.1862),-18.0910811924274
Sigmoid Function_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41acfd0>>
Sigmoid Function_0_36,x*acosh(4),tensor(0.1021),-76.27425548017686
Sigmoid Function_0_37,x*(x + sin(x) + 2),tensor(0.1111),-63.05676949819146
Sigmoid Function_0_38,x - tanh(x),tensor(0.2201),-11.555259691986533
Sigmoid Function_0_39,1/(3*x**2),tensor(0.0003),-8936031.123745212
Sigmoid Function_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055e1610>>
Sigmoid Function_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4109c70>>
Sigmoid Function_0_42,2*x*(x + 1),tensor(0.1094),-65.25836556301932
Sigmoid Function_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08f820>>
Sigmoid Function_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41548b0>>
Sigmoid Function_0_45,-log(cos(x)) - atan(x),tensor(0.1623),-25.647237672160703
Sigmoid Function_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40c3610>>
Sigmoid Function_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40af7c0>>
Sigmoid Function_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40afd60>>
Sigmoid Function_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26626e20>>
Sigmoid Function_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26626280>>
Sigmoid Function_0_51,x*(x + 1) + x,tensor(0.1153),-57.92937329791295
Sigmoid Function_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26626df0>>
Sigmoid Function_0_53,sqrt(x) + x**3,tensor(0.),0
Sigmoid Function_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05d88ac0>>
Sigmoid Function_0_55,cos(x)**2,tensor(0.2957),-4.67408904911787
Sigmoid Function_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05d88e50>>
Sigmoid Function_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afb430>>
Sigmoid Function_0_58,-x*cos(x) + x,tensor(0.2166),-12.08136592893805
Sigmoid Function_0_59,x**2*(x + 3),tensor(0.1189),-53.922207157119175
Sigmoid Function_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4164df0>>
Sigmoid Function_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265ff5e0>>
Sigmoid Function_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4133a90>>
Sigmoid Function_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa004070fa0>>
Sigmoid Function_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f04bba5e0>>
Sigmoid Function_0_65,x**2 + exp(x),tensor(0.1067),-69.12944402560423
Sigmoid Function_0_66,x*sin(4),tensor(0.1609),-26.191016326881208
Sigmoid Function_0_67,x**2 + x + 3,tensor(0.0471),-408.45056677946513
Sigmoid Function_0_68,5*x*(x + 1),tensor(0.0422),-512.9990694062528
Sigmoid Function_0_69,cos(x)**2,tensor(0.2957),-4.67408904911787
Sigmoid Function_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265fff40>>
Sigmoid Function_0_71,-5*tan(5*x),tensor(0.0026),-150405.40658787548
Sigmoid Function_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afbac0>>
Sigmoid Function_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afbca0>>
Sigmoid Function_0_74,x*cos(x + 1),tensor(0.1477),-32.27232526396509
Sigmoid Function_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f04bd46d0>>
Sigmoid Function_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f04bd4f70>>
Sigmoid Function_0_77,4*cos(x)*cosh(x),tensor(0.0401),-572.5425879504547
Sigmoid Function_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26399d00>>
Sigmoid Function_0_79,x - 2/x,tensor(0.0048),-42795.916986841556
Sigmoid Function_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417ffd0>>
Sigmoid Function_0_81,x**4/8,tensor(0.2263),-10.692291013435579
Sigmoid Function_0_82,x**3/2,tensor(0.2157),-12.221400235738647
Sigmoid Function_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064ba910>>
Sigmoid Function_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055fbdc0>>
Sigmoid Function_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41d44f0>>
Sigmoid Function_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40926d0>>
Sigmoid Function_0_87,cos(4*x),tensor(0.1210),-51.75316145322672
Sigmoid Function_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f263400a0>>
Sigmoid Function_0_89,x**2*cos(2),tensor(0.1767),-20.72296656381722
Sigmoid Function_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841793a0>>
Sigmoid Function_0_91,sqrt(x) + 4,tensor(0.),0
Sigmoid Function_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab940>>
Sigmoid Function_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262e01f0>>
Sigmoid Function_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f582e65b0>>
Sigmoid Function_0_95,x**2 + exp(x),tensor(0.1067),-69.12944402560423
Sigmoid Function_0_96,log(x + 3),tensor(0.1968),-15.649832051293394
Sigmoid Function_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584f35b0>>
Sigmoid Function_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584f7eb0>>
Sigmoid Function_0_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84055070>>
Sigmoid Function_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e136a30>>
Sigmoid Function_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e136df0>>
Sigmoid Function_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0546a0>>
Sigmoid Function_0_103,3*x + sin(x),tensor(0.0581),-261.38367710949444
Sigmoid Function_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41ac7c0>>
Sigmoid Function_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417f4f0>>
Sigmoid Function_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064f8fa0>>
Sigmoid Function_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583fd4f0>>
Sigmoid Function_0_108,sinh(x**2)/2,tensor(0.2738),-6.037088175206364
Sigmoid Function_0_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417f8b0>>
Sigmoid Function_0_110,-x*cos(x),tensor(0.1633),-25.242198155658393
Sigmoid Function_0_111,acos(x)**2,tensor(0.0374),-662.0333691068595
Sigmoid Function_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05647610>>
Sigmoid Function_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05647700>>
Sigmoid Function_0_114,x + tan(3) + 1,tensor(0.2047),-14.103900883825666
Sigmoid Function_0_115,sinh(x + 3),tensor(0.0111),-7881.888090144077
Sigmoid Function_0_116,x,tensor(0.1662),-24.164029461621876
Sigmoid Function_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625c7c0>>
Sigmoid Function_0_118,-tanh(x),tensor(0.1539),-29.221722350404097
Sigmoid Function_0_119,-3*x + cos(x),tensor(0.0666),-195.580152449522
Sigmoid Function_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08f130>>
Sigmoid Function_0_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41741c0>>
Sigmoid Function_0_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41746a0>>
Sigmoid Function_0_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4174eb0>>
Sigmoid Function_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26626ac0>>
Sigmoid Function_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266261f0>>
Sigmoid Function_0_126,-sin(x + 2),tensor(0.0998),-80.31704579465438
Sigmoid Function_0_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05d880d0>>
Sigmoid Function_1_0,x**2 + x + x**(-3),tensor(1.1453e-06),-762337493905.1173
Sigmoid Function_1_1,x**2/2 + sinh(x),tensor(0.1806),-19.584162388489332
Sigmoid Function_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475880>>
Sigmoid Function_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475640>>
Sigmoid Function_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584754c0>>
Sigmoid Function_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475400>>
Sigmoid Function_1_6,exp(x + 3),tensor(0.0055),-32865.95503571611
Sigmoid Function_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475700>>
Sigmoid Function_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475d00>>
Sigmoid Function_1_9,exp(x/2),tensor(0.2033),-14.352420084328664
Sigmoid Function_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41ad430>>
Sigmoid Function_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41ad610>>
Sigmoid Function_1_12,2*x**2 + x,tensor(0.1630),-25.37142761413822
Sigmoid Function_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0580>>
Sigmoid Function_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a04f0>>
Sigmoid Function_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0970>>
Sigmoid Function_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0310>>
Sigmoid Function_1_17,6*x**2,tensor(0.0548),-296.6868470208514
Sigmoid Function_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e054460>>
Sigmoid Function_1_19,x + sin(x) - 1,tensor(0.0699),-176.22079918209695
Sigmoid Function_1_20,2*x*(x + 5),tensor(0.0239),-1664.8109203456277
Sigmoid Function_1_21,8/x,tensor(0.0012),-688619.2370808522
Sigmoid Function_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403f490>>
Sigmoid Function_1_23,x + tanh(3),tensor(0.1814),-19.36774260710739
Sigmoid Function_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5855cca0>>
Sigmoid Function_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa416d610>>
Sigmoid Function_1_26,3*x + 1/3,tensor(0.0780),-138.7974296944939
Sigmoid Function_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4174100>>
Sigmoid Function_1_28,x + x*tan(4),tensor(0.0985),-82.84269271797696
Sigmoid Function_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806a5b0>>
Sigmoid Function_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806a670>>
Sigmoid Function_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806ac40>>
Sigmoid Function_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806ad00>>
Sigmoid Function_1_33,2,tensor(0.),0
Sigmoid Function_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806a9d0>>
Sigmoid Function_1_35,x*(x**3 + x),tensor(0.1922),-16.667079567255417
Sigmoid Function_1_36,x + cos(1),tensor(0.2383),-9.216703090046552
Sigmoid Function_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06234f70>>
Sigmoid Function_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06234c40>>
Sigmoid Function_1_39,x*(x + 1),tensor(0.2049),-14.049139881309815
Sigmoid Function_1_40,x*log(1/(x + 2)),tensor(0.1472),-32.55207734963365
Sigmoid Function_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa416d5b0>>
Sigmoid Function_1_42,2*x*(x + 3),tensor(0.0398),-580.4886315784214
Sigmoid Function_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403f640>>
Sigmoid Function_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403fbe0>>
Sigmoid Function_1_45,x*(x**2 + 3) + x,tensor(0.0497),-364.75753943756087
Sigmoid Function_1_46,2*x**2*exp(2),tensor(0.0213),-2103.8530880640624
Sigmoid Function_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403f280>>
Sigmoid Function_1_48,-2*x/7,tensor(0.2006),-14.875902577349079
Sigmoid Function_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41ad310>>
Sigmoid Function_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41adac0>>
Sigmoid Function_1_51,1/(x + 5),tensor(0.3022),-4.330860548400346
Sigmoid Function_1_52,x**2*acosh(4)/2,tensor(0.2758),-5.893751417973058
Sigmoid Function_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475490>>
Sigmoid Function_1_54,1/(2*x),tensor(0.0188),-2713.968888181478
Sigmoid Function_1_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e054b80>>
Sigmoid Function_1_56,-2*sinh(x),tensor(0.0864),-110.72972765019064
Sigmoid Function_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41ad220>>
Sigmoid Function_1_58,6*x**5,tensor(0.0717),-166.6353523467411
Sigmoid Function_1_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625c5b0>>
Sigmoid Function_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625ca00>>
Sigmoid Function_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625cb50>>
Sigmoid Function_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625c970>>
Sigmoid Function_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625caf0>>
Sigmoid Function_1_64,x + cos(x),tensor(0.2002),-14.955111454643738
Sigmoid Function_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0625cdc0>>
Sigmoid Function_1_66,-3*x**2/4,tensor(0.1512),-30.51809519547542
Sigmoid Function_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26338e20>>
Sigmoid Function_1_68,x + cosh(x) + 1,tensor(0.0764),-144.9378768792978
Sigmoid Function_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0190>>
Sigmoid Function_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0f40>>
Sigmoid Function_1_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0070>>
Sigmoid Function_1_72,-x + tanh(x),tensor(0.2100),-13.16045944418055
Sigmoid Function_1_73,42*x*exp(x) + x,tensor(0.0038),-68946.66494995811
Sigmoid Function_1_74,sin(2)/x,tensor(0.0105),-8929.080630606928
Sigmoid Function_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4197df0>>
Sigmoid Function_1_76,asin(x + 1),tensor(0.),0
Sigmoid Function_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806ac10>>
Sigmoid Function_1_78,sin(x + 3),tensor(0.1601),-26.50192995923932
Sigmoid Function_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4197550>>
Sigmoid Function_1_80,2*x**2 + x,tensor(0.1630),-25.37142761413822
Sigmoid Function_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806af70>>
Sigmoid Function_1_82,x*atanh(x) + x,tensor(0.1729),-21.86860276516241
Sigmoid Function_1_83,x + sin(3*x),tensor(0.0994),-81.05354610790846
Sigmoid Function_1_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58177400>>
Sigmoid Function_1_85,-x + sin(x),tensor(0.2136),-12.547744250470213
Sigmoid Function_1_86,x + cos(2),tensor(0.1173),-55.6714430794688
Sigmoid Function_1_87,x/2,tensor(0.2076),-13.565359302704703
Sigmoid Function_1_88,-x**2,tensor(0.1359),-39.41752342501496
Sigmoid Function_1_89,2*x + 2*tan(x),tensor(0.0500),-359.63931574097927
Sigmoid Function_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f267c79a0>>
Sigmoid Function_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f263387c0>>
Sigmoid Function_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26338370>>
Sigmoid Function_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0be0>>
Sigmoid Function_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475190>>
Sigmoid Function_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475910>>
Sigmoid Function_1_96,-4*x**2 + 3*x,tensor(0.0453),-442.2570338466891
Sigmoid Function_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa416dca0>>
Sigmoid Function_1_98,x*tan(5) + x,tensor(0.0816),-125.68123540097855
Sigmoid Function_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5855caf0>>
Sigmoid Function_1_100,2*sqrt(2)*pi,tensor(0.),0
Sigmoid Function_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841de610>>
Sigmoid Function_1_102,x*sin(1),tensor(0.1797),-19.84092685106483
Sigmoid Function_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841de6d0>>
Sigmoid Function_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841de5e0>>
Sigmoid Function_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841dec10>>
Sigmoid Function_1_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dd3a0>>
Sigmoid Function_1_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dd310>>
Sigmoid Function_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dd8e0>>
Sigmoid Function_1_109,x + sqrt(x + 1),tensor(0.1393),-37.16751947003234
Sigmoid Function_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dd2e0>>
Sigmoid Function_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e054490>>
Sigmoid Function_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e054f40>>
Sigmoid Function_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097c40>>
Sigmoid Function_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097df0>>
Sigmoid Function_1_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640976a0>>
Sigmoid Function_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097370>>
Sigmoid Function_1_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097820>>
Sigmoid Function_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640977c0>>
Sigmoid Function_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097fd0>>
Sigmoid Function_1_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640972e0>>
Sigmoid Function_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64097760>>
Sigmoid Function_1_122,2*x**5/5,tensor(0.2189),-11.736706103257491
Sigmoid Function_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584757f0>>
Sigmoid Function_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475370>>
Sigmoid Function_1_125,acos(2*x),tensor(0.),0
Sigmoid Function_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475550>>
Sigmoid Function_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5855c130>>
Sigmoid Function_2_0,9*x**10/10,tensor(0.2345),-9.659944398112044
Sigmoid Function_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa40d0610>>
Sigmoid Function_2_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806a130>>
Sigmoid Function_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5806ab80>>
Sigmoid Function_2_4,log(5*x),tensor(0.),0
Sigmoid Function_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dda30>>
Sigmoid Function_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dd550>>
Sigmoid Function_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41ddfa0>>
Sigmoid Function_2_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dda90>>
Sigmoid Function_2_9,sin(x) - 1,tensor(0.0816),-125.80402515391327
Sigmoid Function_2_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475670>>
Sigmoid Function_2_11,x**2*(x + sin(x)),tensor(0.1467),-32.819301298283065
Sigmoid Function_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403f850>>
Sigmoid Function_2_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403f160>>
Sigmoid Function_2_14,(x + 4)/sqrt(x),tensor(0.),0
Sigmoid Function_2_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41adc40>>
Sigmoid Function_2_16,x*(x*exp(x) + 3),tensor(0.0642),-211.42674866790767
Sigmoid Function_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4197520>>
Sigmoid Function_2_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5855cfa0>>
