Exponential Decay with Sine_0_0,x + tan(x),tensor(0.7070),0.8281807797665881
Exponential Decay with Sine_1_29,2*x*(x + 3),tensor(0.5444),0.299888385037683
Exponential Decay with Sine_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fdf0>>
Exponential Decay with Sine_1_31,4*log(x),tensor(0.),0
Exponential Decay with Sine_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aadf0>>
Exponential Decay with Sine_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aad30>>
Exponential Decay with Sine_1_34,7,tensor(0.),0
Exponential Decay with Sine_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b4a90>>
Exponential Decay with Sine_1_36,x**2*sin(2),tensor(0.4843),-0.1336652889615806
Exponential Decay with Sine_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fac10>>
Exponential Decay with Sine_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fa640>>
Exponential Decay with Sine_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930091dc0>>
Exponential Decay with Sine_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930091fd0>>
Exponential Decay with Sine_1_41,x**3 + x**2 + x,tensor(0.5934),0.5303804370069204
Exponential Decay with Sine_1_42,x - 2/x,tensor(0.0394),-594.6944359160237
Exponential Decay with Sine_1_43,x/(x + 2),tensor(0.5431),0.2923073126700956
Exponential Decay with Sine_1_44,x*(x + 1),tensor(0.5490),0.325094956851831
Exponential Decay with Sine_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18e9190>>
Exponential Decay with Sine_1_46,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18e93d0>>
Exponential Decay with Sine_1_48,-x + exp(x),tensor(0.4534),-0.4529651893993891
Exponential Decay with Sine_1_49,3 - x,tensor(0.3328),-3.0181456895558822
Exponential Decay with Sine_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fa1f0>>
Exponential Decay with Sine_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aa4f0>>
Exponential Decay with Sine_1_52,x*(x + 1/2),tensor(0.5141),0.1065447045932626
Exponential Decay with Sine_1_53,x + cos(x),tensor(0.5276),0.19845902162980755
Exponential Decay with Sine_1_54,2*x*exp(4*x),tensor(0.0870),-109.0971564460481
Exponential Decay with Sine_1_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300919a0>>
Exponential Decay with Sine_1_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580751c0>>
Exponential Decay with Sine_1_57,x - 1/(2*x),tensor(0.1393),-37.20570141586232
Exponential Decay with Sine_1_58,(x + 1)**3,tensor(0.4590),-0.38892396265001206
Exponential Decay with Sine_1_59,x**2*(x**3 + x),tensor(0.5693),0.4275697547829077
Exponential Decay with Sine_1_60,x*cos(5)/5,tensor(0.5011),0.00863444694331772
Exponential Decay with Sine_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958075370>>
Exponential Decay with Sine_1_62,4*x + 8,tensor(0.2070),-13.675467537265257
Exponential Decay with Sine_1_63,(2*x + 1)**(-2),tensor(6.3757e-05),-245976829.14053807
Exponential Decay with Sine_1_64,asin(x + 1),tensor(0.),0
Exponential Decay with Sine_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194f10>>
Exponential Decay with Sine_1_66,2*x*(x + cos(x)),tensor(0.5402),0.2756722774420596
Exponential Decay with Sine_1_67,2*x*exp(5),tensor(0.0124),-6331.39325278284
Exponential Decay with Sine_1_68,x - exp(x) + sin(x),tensor(0.5329),0.23194094294675227
Exponential Decay with Sine_1_69,x + cos(1),tensor(0.5470),0.31402120184107374
Exponential Decay with Sine_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581aba90>>
Exponential Decay with Sine_1_71,1/sin(x),tensor(0.0761),-146.5311590170812
Exponential Decay with Sine_1_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab3d0>>
Exponential Decay with Sine_1_73,1/cos(x),tensor(0.4449),-0.5570913078075213
Exponential Decay with Sine_1_74,2*x**3/3 + x,tensor(0.6091),0.5882997675437864
Exponential Decay with Sine_1_75,cos(tan(2*x)),tensor(0.4863),-0.1158190126309897
Exponential Decay with Sine_1_76,x*(x + 3),tensor(0.7086),0.8308552526399554
Exponential Decay with Sine_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958075070>>
Exponential Decay with Sine_1_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958075e50>>
Exponential Decay with Sine_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930091a90>>
Exponential Decay with Sine_1_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300916d0>>
Exponential Decay with Sine_1_81,x + 1/log(x),tensor(0.),0
Exponential Decay with Sine_1_82,x/(x + 3),tensor(0.5235),0.17147067735976296
Exponential Decay with Sine_1_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b4be0>>
Exponential Decay with Sine_1_84,x*exp(-2*x),tensor(0.6125),0.5997238653635899
Exponential Decay with Sine_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fabe0>>
Exponential Decay with Sine_1_86,atan(x + 4),tensor(0.4457),-0.5462404630440374
Exponential Decay with Sine_1_87,x*atanh(5),tensor(0.),0
Exponential Decay with Sine_1_88,6*x**(5/2),tensor(0.),0
Exponential Decay with Sine_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580755e0>>
Exponential Decay with Sine_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f9d0>>
Exponential Decay with Sine_1_91,x + cos(2),tensor(0.5771),0.4631121550250815
Exponential Decay with Sine_1_92,x*exp(x) + 2*x,tensor(0.7102),0.8335504218427228
Exponential Decay with Sine_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29be550>>
Exponential Decay with Sine_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81809d0>>
Exponential Decay with Sine_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81803a0>>
Exponential Decay with Sine_1_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180fd0>>
Exponential Decay with Sine_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180af0>>
Exponential Decay with Sine_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81808e0>>
Exponential Decay with Sine_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180970>>
Exponential Decay with Sine_1_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180880>>
Exponential Decay with Sine_1_101,66*x**4,tensor(0.0868),-109.56859289466986
Exponential Decay with Sine_1_102,log(4*x),tensor(0.),0
Exponential Decay with Sine_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f340>>
Exponential Decay with Sine_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f460>>
Exponential Decay with Sine_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fd30>>
Exponential Decay with Sine_1_106,x*(x*asin(x) + x),tensor(0.5276),0.1980459118258635
Exponential Decay with Sine_1_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f610>>
Exponential Decay with Sine_1_108,x + 5,tensor(0.2803),-5.594427821364376
Exponential Decay with Sine_1_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fcd0>>
Exponential Decay with Sine_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f730>>
Exponential Decay with Sine_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b4c10>>
Exponential Decay with Sine_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81807c0>>
Exponential Decay with Sine_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180f70>>
Exponential Decay with Sine_1_114,-3*x/8,tensor(0.4736),-0.2356442181406253
Exponential Decay with Sine_1_115,x*(x**2 + x),tensor(0.5196),0.14541878455068225
Exponential Decay with Sine_1_116,5*x**2/2,tensor(0.4490),-0.5061205380132765
Exponential Decay with Sine_1_117,sin(x)**2,tensor(0.4864),-0.11477606117257277
Exponential Decay with Sine_1_118,x**3/19,tensor(0.4994),-0.005020122010913841
Exponential Decay with Sine_1_119,log(x**2),tensor(0.3810),-1.6386949591741402
Exponential Decay with Sine_1_120,x + atanh(2*x),tensor(0.),0
Exponential Decay with Sine_1_121,x + log(x) + 2,tensor(0.),0
Exponential Decay with Sine_1_122,2*log(x)*sinh(x),tensor(0.),0
Exponential Decay with Sine_1_123,log(x)/3,tensor(0.),0
Exponential Decay with Sine_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c7730>>
Exponential Decay with Sine_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c7250>>
Exponential Decay with Sine_1_126,5*x**4/2,tensor(0.4657),-0.3165395958869035
Exponential Decay with Sine_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c71f0>>
Exponential Decay with Sine_2_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc618550>>
Exponential Decay with Sine_2_1,4*x,tensor(0.8493),0.9685231241767759
Exponential Decay with Sine_2_2,4*x*acos(x),tensor(0.4626),-0.3496642455696015
Exponential Decay with Sine_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc618e80>>
Exponential Decay with Sine_2_4,x**3*asinh(x),tensor(0.4889),-0.09326239637298728
Exponential Decay with Sine_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc618e50>>
Exponential Decay with Sine_2_6,x*sin(tan(x + 3)),tensor(0.4757),-0.21468254688586175
Exponential Decay with Sine_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6ca90>>
Exponential Decay with Sine_2_8,3*exp(2*x),tensor(0.2378),-9.27903183962468
Exponential Decay with Sine_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f970>>
Exponential Decay with Sine_2_10,x*cosh(2),tensor(0.8648),0.9755678429668624
Exponential Decay with Sine_2_11,x*(x + cos(x)),tensor(0.5289),0.20646735321265575
Exponential Decay with Sine_2_12,acos(x)**3,tensor(0.1675),-23.685884949519895
Exponential Decay with Sine_2_13,x*exp(2*x),tensor(0.5251),0.18205339598552361
Exponential Decay with Sine_2_14,x*(x + 1) + x,tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_2_15,x*(x + 2),tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_2_16,2*x**2 + x,tensor(0.5152),0.11443502673094652
Exponential Decay with Sine_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab5e0>>
