Quadratic Equation_0_0,3*exp(x)/x,tensor(0.0628),-221.73495425048935
Quadratic Equation_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03ff40>>
Quadratic Equation_0_61,3*x - 3*log(x + 3),tensor(0.2172),-11.995543549217464
Quadratic Equation_0_62,5*x + sin(x),tensor(0.2394),-9.093919779129259
Quadratic Equation_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d88b0>>
Quadratic Equation_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d8be0>>
Quadratic Equation_0_65,-1/(2*x),tensor(0.2350),-9.593643988988905
Quadratic Equation_0_66,x + exp(x) + 1,tensor(0.3252),-3.3070815259797506
Quadratic Equation_0_67,x + cosh(x),tensor(0.3136),-3.7890547827870424
Quadratic Equation_0_68,x + x*sinh(5),tensor(0.0580),-262.5571353654214
Quadratic Equation_0_69,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_70,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_0_71,x*(x + cos(x)),tensor(0.2949),-4.7150418623302475
Quadratic Equation_0_72,x**3*sin(1),tensor(0.2872),-5.157506764147148
Quadratic Equation_0_73,exp(x + 1),tensor(0.3358),-2.9116360171740188
Quadratic Equation_0_74,x/cos(x),tensor(0.2791),-5.670335994800136
Quadratic Equation_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16c910>>
Quadratic Equation_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16c100>>
Quadratic Equation_0_77,1/(x + 5),tensor(0.2974),-4.58333182096645
Quadratic Equation_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038670>>
Quadratic Equation_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0386a0>>
Quadratic Equation_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038e80>>
Quadratic Equation_0_81,acos(x),tensor(0.3526),-2.3719537925022607
Quadratic Equation_0_82,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_83,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16cc10>>
Quadratic Equation_0_85,x*(x + sin(x)),tensor(0.3109),-3.914597388478586
Quadratic Equation_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16c220>>
Quadratic Equation_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16c490>>
Quadratic Equation_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16cb20>>
Quadratic Equation_0_89,exp(cos(x)),tensor(0.3611),-2.130914532627186
Quadratic Equation_0_90,cos(x),tensor(0.3141),-3.770154606828224
Quadratic Equation_0_91,cosh(x) + 4,tensor(0.4752),-0.21920077669911997
Quadratic Equation_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c177220>>
Quadratic Equation_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c177d30>>
Quadratic Equation_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1772b0>>
Quadratic Equation_0_95,x*cos(x) - x,tensor(0.2941),-4.761972625508553
Quadratic Equation_0_96,x*exp(x) + x,tensor(0.2800),-5.609902327714727
Quadratic Equation_0_97,x**2*(x + exp(x)),tensor(0.2920),-4.880731245398209
Quadratic Equation_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038d90>>
Quadratic Equation_0_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038bb0>>
Quadratic Equation_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c040700>>
Quadratic Equation_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0407c0>>
Quadratic Equation_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0384f0>>
Quadratic Equation_0_103,exp(asinh(x)),tensor(0.3127),-3.828831874761865
Quadratic Equation_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d8d60>>
Quadratic Equation_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d83a0>>
Quadratic Equation_0_106,16*x**3,tensor(0.2058),-13.89842560164443
Quadratic Equation_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03fdc0>>
Quadratic Equation_0_108,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_0_109,-sin(x),tensor(0.2990),-4.497055541135679
Quadratic Equation_0_110,1/(2*x),tensor(0.2168),-12.049249088174983
Quadratic Equation_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4b50>>
Quadratic Equation_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c06efd0>>
Quadratic Equation_0_113,3*tanh(x),tensor(0.2694),-6.357212096714446
Quadratic Equation_0_114,3*sin(x),tensor(0.2677),-6.4824167849654915
Quadratic Equation_0_115,x + sin(x) + 3,tensor(0.3498),-2.455290914359218
Quadratic Equation_0_116,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c06ed00>>
Quadratic Equation_0_118,x**3 - 4*x,tensor(0.3150),-3.7279635053387503
Quadratic Equation_0_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b2640>>
Quadratic Equation_0_120,8*pi/9,tensor(0.),0
Quadratic Equation_0_121,exp(2*x),tensor(0.3059),-4.146768102372607
Quadratic Equation_0_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c177550>>
Quadratic Equation_0_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1774f0>>
Quadratic Equation_0_124,x + cosh(x),tensor(0.3136),-3.7890547827870424
Quadratic Equation_0_125,x*(x + cos(x)),tensor(0.2949),-4.7150418623302475
Quadratic Equation_0_126,x + sin(x) + 3,tensor(0.3498),-2.455290914359218
Quadratic Equation_0_127,sqrt(x + 1),tensor(0.3112),-3.896718979137458
Quadratic Equation_1_0,x + 2*cos(x),tensor(0.3253),-3.3011293021805255
Quadratic Equation_1_1,x*(x + sin(x)),tensor(0.3109),-3.914597388478586
Quadratic Equation_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0ed0a0>>
Quadratic Equation_1_3,exp(x),tensor(0.3124),-3.8465782597236524
Quadratic Equation_1_4,2*log(x),tensor(0.),0
Quadratic Equation_1_5,3*x + 4,tensor(0.3512),-2.4120545196918712
Quadratic Equation_1_6,cos(x) + 1,tensor(0.3454),-2.592506498378366
Quadratic Equation_1_7,1/2,tensor(0.),0
Quadratic Equation_1_8,asinh(4*x),tensor(0.2700),-6.306768755686762
Quadratic Equation_1_9,-atanh(x),tensor(0.3033),-4.278525352314873
Quadratic Equation_1_10,Abs(x),tensor(0.3063),-4.130147478308748
Quadratic Equation_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b2f70>>
Quadratic Equation_1_12,x**7,tensor(0.2888),-5.063155052480764
Quadratic Equation_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038c40>>
Quadratic Equation_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038fa0>>
Quadratic Equation_1_15,-x,tensor(0.2998),-4.456749628349191
Quadratic Equation_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d81c0>>
Quadratic Equation_1_17,(x + 1)**2,tensor(0.3059),-4.1485400173733025
Quadratic Equation_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec131bb0>>
Quadratic Equation_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec131a00>>
Quadratic Equation_1_20,sin(x) + 3,tensor(0.3698),-1.9051622525341037
Quadratic Equation_1_21,exp(x + 4),tensor(0.0431),-492.9787782867211
Quadratic Equation_1_22,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_1_23,acos(x)**3,tensor(0.4410),-0.6062200644781761
Quadratic Equation_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec131130>>
Quadratic Equation_1_25,sinh(x) + 7,tensor(0.4504),-0.48893201513388895
Quadratic Equation_1_26,x**2*(x + 5),tensor(0.3344),-2.961838782437724
Quadratic Equation_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03feb0>>
Quadratic Equation_1_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4cd0>>
Quadratic Equation_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4bb0>>
Quadratic Equation_1_30,6,tensor(0.),0
Quadratic Equation_1_31,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c177c70>>
Quadratic Equation_1_33,x + sin(x) + 4,tensor(0.3769),-1.7325951860264945
Quadratic Equation_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16ca90>>
Quadratic Equation_1_35,x*(x - 4),tensor(0.3305),-3.102505195984895
Quadratic Equation_1_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b2f10>>
Quadratic Equation_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b22b0>>
Quadratic Equation_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b2af0>>
Quadratic Equation_1_39,sinh(x)**5,tensor(0.2845),-5.327482394032048
Quadratic Equation_1_40,x + exp(x) + 3,tensor(0.3776),-1.7168691823169961
Quadratic Equation_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038a60>>
Quadratic Equation_1_42,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec057be0>>
Quadratic Equation_1_44,x,tensor(0.2830),-5.416330151725984
Quadratic Equation_1_45,x + cos(x) + 4,tensor(0.4241),-0.844718503050381
Quadratic Equation_1_46,x + exp(x) + 2,tensor(0.3516),-2.4013052502105157
Quadratic Equation_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038340>>
Quadratic Equation_1_48,-4*x/3,tensor(0.3023),-4.327292134560538
Quadratic Equation_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0579d0>>
Quadratic Equation_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec16eeb0>>
Quadratic Equation_1_51,x*(4*x + 4),tensor(0.2827),-5.43499443728482
Quadratic Equation_1_52,2*x/5,tensor(0.2883),-5.095545593796867
Quadratic Equation_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bf1c0>>
Quadratic Equation_1_54,x**3/8,tensor(0.2910),-4.934508172155252
Quadratic Equation_1_55,x + tan(x) + 3,tensor(0.3424),-2.6883556651348486
Quadratic Equation_1_56,2*x*cos(x),tensor(0.2793),-5.661213281693057
Quadratic Equation_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0ed7f0>>
Quadratic Equation_1_58,x*(x + 5) + x,tensor(0.2440),-8.59601509626284
Quadratic Equation_1_59,x + exp(x) + 2,tensor(0.3516),-2.4013052502105157
Quadratic Equation_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec16e910>>
Quadratic Equation_1_61,x + 1,tensor(0.3081),-4.0413985054779165
Quadratic Equation_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec16e5e0>>
Quadratic Equation_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec16e220>>
Quadratic Equation_1_64,x + tan(x) + 3,tensor(0.3424),-2.6883556651348486
Quadratic Equation_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c177280>>
Quadratic Equation_1_66,tan(x/2),tensor(0.2872),-5.1613820332206295
Quadratic Equation_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec057d60>>
Quadratic Equation_1_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec057880>>
Quadratic Equation_1_69,x**5 + 5,tensor(0.4503),-0.49024218982290746
Quadratic Equation_1_70,x + cos(4),tensor(0.2683),-6.434668058915477
Quadratic Equation_1_71,x*exp(x) + 5,tensor(0.4308),-0.745394532243624
Quadratic Equation_1_72,2*x*sin(4),tensor(0.3036),-4.260907110030437
Quadratic Equation_1_73,44*exp(x),tensor(0.0536),-311.317974677274
Quadratic Equation_1_74,x**3*exp(5),tensor(0.0466),-416.91654414505985
Quadratic Equation_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0ed850>>
Quadratic Equation_1_76,4*x**2,tensor(0.3325),-3.029726516454712
Quadratic Equation_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038130>>
Quadratic Equation_1_78,x**2*cos(4),tensor(0.2853),-5.274380548888962
Quadratic Equation_1_79,x*acosh(4),tensor(0.2735),-6.05419333022395
Quadratic Equation_1_80,-2*sin(x),tensor(0.3056),-4.160773581453496
Quadratic Equation_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1d9df0>>
Quadratic Equation_1_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1d98e0>>
Quadratic Equation_1_83,x**3,tensor(0.2864),-5.209167167523472
Quadratic Equation_1_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc190a90>>
Quadratic Equation_1_85,1/(x**2 + x),tensor(0.1218),-50.975109020463336
Quadratic Equation_1_86,exp(x) + tanh(x),tensor(0.3021),-4.335279417685619
Quadratic Equation_1_87,x + log(x) + 4,tensor(0.),0
Quadratic Equation_1_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec131c10>>
Quadratic Equation_1_89,sin(x) + cos(x),tensor(0.3043),-4.2263800938425025
Quadratic Equation_1_90,x**3/5,tensor(0.2906),-4.957047330872945
Quadratic Equation_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b22e0>>
Quadratic Equation_1_92,3*x + 3,tensor(0.3293),-3.1493663441502555
Quadratic Equation_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4730>>
Quadratic Equation_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4670>>
Quadratic Equation_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4340>>
Quadratic Equation_1_96,x*(x + sin(x) + 1),tensor(0.3005),-4.416963364536745
Quadratic Equation_1_97,x + exp(x) + 2,tensor(0.3516),-2.4013052502105157
Quadratic Equation_1_98,(x**2 + 5)**3,tensor(0.0196),-2505.3957627633804
Quadratic Equation_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec057430>>
Quadratic Equation_1_100,-x,tensor(0.2998),-4.456749628349191
Quadratic Equation_1_101,x + 4,tensor(0.4003),-1.2446448139880113
Quadratic Equation_1_102,exp(-x),tensor(0.3383),-2.8249884287304923
Quadratic Equation_1_103,1/x,tensor(0.1501),-31.049308729529947
Quadratic Equation_1_104,x + cos(x) + 2,tensor(0.3615),-2.1197144824089844
Quadratic Equation_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc190130>>
Quadratic Equation_1_106,(x - 1)*exp(x),tensor(0.2711),-6.227016743859199
Quadratic Equation_1_107,sinh(x + 5),tensor(0.0316),-939.4365037509483
Quadratic Equation_1_108,2*x**6,tensor(0.3002),-4.4336593542082285
Quadratic Equation_1_109,x**2 + x - 3,tensor(0.2310),-10.087545822124254
Quadratic Equation_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a03d0>>
Quadratic Equation_1_111,sin(x),tensor(0.2839),-5.36168948203037
Quadratic Equation_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a07c0>>
Quadratic Equation_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a0730>>
Quadratic Equation_1_114,2,tensor(0.),0
Quadratic Equation_1_115,2*exp(x)/3,tensor(0.3058),-4.155418513325545
Quadratic Equation_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1d9700>>
Quadratic Equation_1_117,5*atanh(x),tensor(0.2266),-10.648961942374388
Quadratic Equation_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a05e0>>
Quadratic Equation_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a0c70>>
Quadratic Equation_1_120,log(x + 1),tensor(0.2709),-6.242478667864497
Quadratic Equation_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03f130>>
Quadratic Equation_1_122,4*sin(x),tensor(0.2595),-7.138815447198214
Quadratic Equation_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03f460>>
Quadratic Equation_1_124,exp(x),tensor(0.3124),-3.8465782597236524
Quadratic Equation_1_125,x + exp(x) + 2,tensor(0.3516),-2.4013052502105157
Quadratic Equation_1_126,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_1_127,x*(x + 4),tensor(0.2628),-6.870448336853389
Quadratic Equation_2_0,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec131790>>
Quadratic Equation_2_2,5/3,tensor(0.),0
Quadratic Equation_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc070610>>
Quadratic Equation_2_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc070b80>>
Quadratic Equation_2_5,17/x,tensor(0.0119),-6894.885713553085
Quadratic Equation_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c12fb80>>
Quadratic Equation_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c12fd30>>
Quadratic Equation_2_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c12f730>>
Quadratic Equation_2_9,-sinh(x),tensor(0.3006),-4.41445324053202
Quadratic Equation_2_10,4*x**2,tensor(0.3325),-3.029726516454712
Quadratic Equation_2_11,x**4 + x + 3,tensor(0.3759),-1.7562201429563955
Quadratic Equation_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d8ac0>>
Quadratic Equation_2_13,acosh(x) + 2,tensor(0.),0
Quadratic Equation_2_14,x + cos(1),tensor(0.2962),-4.64596364564067
Quadratic Equation_2_15,x*(x - 1),tensor(0.3106),-3.927798143166335
Quadratic Equation_2_16,2*x**6 + 3,tensor(0.4020),-1.2130944189067954
Quadratic Equation_2_17,3 - x,tensor(0.4097),-1.0751777187445368
Quadratic Equation_2_18,log(asinh(3)),tensor(0.),0
Quadratic Equation_2_19,3 - x,tensor(0.4097),-1.0751777187445368
Quadratic Equation_2_20,cos(x) + 3,tensor(0.4204),-0.9012309051057972
Quadratic Equation_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bfbe0>>
Quadratic Equation_2_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bfa00>>
Quadratic Equation_2_23,1,tensor(0.),0
Quadratic Equation_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bfa90>>
Quadratic Equation_2_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5b8670>>
Quadratic Equation_2_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5b8e50>>
Quadratic Equation_2_27,4*x**2,tensor(0.3325),-3.029726516454712
Quadratic Equation_2_28,5*x,tensor(0.2472),-8.275788367510359
Quadratic Equation_2_29,x + sin(1) + 1,tensor(0.3318),-3.055921659211365
Quadratic Equation_2_30,x + cosh(3*x),tensor(0.3701),-1.8976078841277468
Quadratic Equation_2_31,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_2_32,x + sin(x) + 3,tensor(0.3498),-2.455290914359218
Quadratic Equation_2_33,8*x**5,tensor(0.2585),-7.224284476430254
Quadratic Equation_2_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038ac0>>
Quadratic Equation_2_35,x/(x + 4),tensor(0.2888),-5.061537832382589
Quadratic Equation_2_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bf7f0>>
Quadratic Equation_2_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0bff40>>
Quadratic Equation_2_38,4*x**2 + exp(x),tensor(0.3532),-2.3530900736454723
Quadratic Equation_2_39,3*x + 3,tensor(0.3293),-3.1493663441502555
Quadratic Equation_2_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a0d90>>
Quadratic Equation_2_41,x**2 + x + 2,tensor(0.3484),-2.4979770386015065
Quadratic Equation_2_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0b46a0>>
Quadratic Equation_2_43,x**2*sin(3),tensor(0.2931),-4.818611650007402
