 Nguyen-2_0_0,2*asin(x) + atanh(x),tensor(0.4083),-1.0999443294539586
 Nguyen-2_0_86,x*(2*x**2 + x),tensor(0.7207),0.8498868514345731
 Nguyen-2_0_87,x*log(x**2),tensor(0.4229),-0.8616665264238381
 Nguyen-2_0_88,x**4 + 1,tensor(0.4717),-0.25399400654473636
 Nguyen-2_0_89,x + acosh(2*x),tensor(0.),0
 Nguyen-2_0_90,x*(x + 1),tensor(0.6861),0.7905849521230726
 Nguyen-2_0_91,log(5)/x,tensor(0.1176),-55.264111950943345
 Nguyen-2_0_92,2*x + 1,tensor(0.6121),0.5984261996846925
 Nguyen-2_0_93,x*acosh(5),tensor(0.5386),0.26619208458257515
 Nguyen-2_0_94,-x*cos(x) + x,tensor(0.5082),0.06372544382242262
 Nguyen-2_0_95,-x**2 + 5*x,tensor(0.3076),-4.068988098497187
 Nguyen-2_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac52fc40>>
 Nguyen-2_0_97,4*x*sin(x) + x,tensor(0.5326),0.22966284285259653
 Nguyen-2_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7460>>
 Nguyen-2_0_99,x*(2 - 2*x),tensor(0.3847),-1.5590220512196193
 Nguyen-2_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69930730>>
 Nguyen-2_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699305e0>>
 Nguyen-2_0_102,2*x*log(2),tensor(0.5753),0.45483822663997897
 Nguyen-2_0_103,x + 4/x,tensor(0.0501),-357.8812050678895
 Nguyen-2_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69930e50>>
 Nguyen-2_0_105,6*log(x),tensor(0.),0
 Nguyen-2_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69930700>>
 Nguyen-2_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7ca0>>
 Nguyen-2_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98a00>>
 Nguyen-2_0_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98cd0>>
 Nguyen-2_0_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98d30>>
 Nguyen-2_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98c10>>
 Nguyen-2_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98f70>>
 Nguyen-2_0_113,tanh(4*x),tensor(0.5493),0.32675812652809355
 Nguyen-2_0_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69930a90>>
 Nguyen-2_0_115,4*x + 1,tensor(0.4210),-0.8920105302203065
 Nguyen-2_0_116,x + exp(2*x),tensor(0.3843),-1.5671898315541104
 Nguyen-2_0_117,tan(x)**2,tensor(0.5336),0.23622300476595803
 Nguyen-2_0_118,x**2 + sin(x),tensor(0.6664),0.7494335509746841
 Nguyen-2_0_119,2*x**3,tensor(0.5769),0.46191257225036364
 Nguyen-2_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e762361c0>>
 Nguyen-2_0_121,4*x*sinh(x),tensor(0.3975),-1.2980435235865118
 Nguyen-2_0_122,4*x + log(x),tensor(0.),0
 Nguyen-2_0_123,-2*x**2 + x,tensor(0.3900),-1.446227896723272
 Nguyen-2_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68c43580>>
 Nguyen-2_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68c434c0>>
 Nguyen-2_0_126,x**2 + log(x)**5,tensor(0.),0
 Nguyen-2_0_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699301f0>>
 Nguyen-2_1_0,4*x**3,tensor(0.5152),0.11472401650468678
 Nguyen-2_1_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7340>>
 Nguyen-2_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7850>>
 Nguyen-2_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7940>>
 Nguyen-2_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7d90>>
 Nguyen-2_1_5,x*(x - 1) + x,tensor(0.5240),0.17513510863725723
 Nguyen-2_1_6,2*cosh(x)/x,tensor(0.0954),-88.86340934620144
 Nguyen-2_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49cd60>>
 Nguyen-2_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49cbe0>>
 Nguyen-2_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7370>>
 Nguyen-2_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee70a0>>
 Nguyen-2_1_11,x + (x + 1)/x,tensor(0.1705),-22.68588144287253
 Nguyen-2_1_12,x*sin(5),tensor(0.3996),-1.2583237193640318
 Nguyen-2_1_13,x*(x + 2) + x,tensor(0.5426),0.2892624114319444
 Nguyen-2_1_14,x*(x + 4),tensor(0.4252),-0.827509972744999
 Nguyen-2_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac120160>>
 Nguyen-2_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac120970>>
 Nguyen-2_1_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac120ca0>>
 Nguyen-2_1_18,x**2 + 2*x,tensor(0.7072),0.8286273863879683
 Nguyen-2_1_19,4*x + 1/x,tensor(0.1562),-28.195478841489578
 Nguyen-2_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec1b20a0>>
 Nguyen-2_1_21,x*log(x) + x,tensor(0.),0
 Nguyen-2_1_22,x**2*(x + 1),tensor(0.6235),0.63540476784599
 Nguyen-2_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12a400>>
 Nguyen-2_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12aa00>>
 Nguyen-2_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12a550>>
 Nguyen-2_1_26,x**3 + 2*x,tensor(0.5170),0.1274777647897536
 Nguyen-2_1_27,x*(x**2 + x),tensor(0.6235),0.63540476784599
 Nguyen-2_1_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60dc7fd0>>
 Nguyen-2_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60dc7a30>>
 Nguyen-2_1_30,-x - sin(x),tensor(0.3379),-2.837903068636532
 Nguyen-2_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1207c0>>
 Nguyen-2_1_32,3*tan(x)**2,tensor(0.3467),-2.549640958310879
 Nguyen-2_1_33,4*x**2,tensor(0.4234),-0.8541588634366224
 Nguyen-2_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76236a00>>
 Nguyen-2_1_35,x**2*cos(x)**2,tensor(0.5000),-3.648817273216309e-05
 Nguyen-2_1_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76236eb0>>
 Nguyen-2_1_37,x**2 + log(x),tensor(0.),0
 Nguyen-2_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e696e98b0>>
 Nguyen-2_1_39,2*x/acos(x),tensor(0.6803),0.7791010208015257
 Nguyen-2_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e696e9730>>
 Nguyen-2_1_41,cos(x) - 1,tensor(0.4531),-0.45705612893686354
 Nguyen-2_1_42,2*x + 1/x,tensor(0.1687),-23.291351602587415
 Nguyen-2_1_43,x**2*cos(2),tensor(0.4562),-0.42135592655120435
 Nguyen-2_1_44,13*x**2,tensor(0.1706),-22.63366217261214
 Nguyen-2_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac120310>>
 Nguyen-2_1_46,x*asinh(x),tensor(0.5208),0.15370983289296025
 Nguyen-2_1_47,2/(x**2 + x),tensor(0.0639),-213.27152419100574
 Nguyen-2_1_48,x**3 + 5*x,tensor(0.3006),-4.412099387221979
 Nguyen-2_1_49,x*exp(-x),tensor(0.4577),-0.403552097477448
 Nguyen-2_1_50,x*exp(-x) + 2,tensor(0.4513),-0.47815699721426275
 Nguyen-2_1_51,x**2*log(3),tensor(0.5264),0.1908190805304525
 Nguyen-2_1_52,x*exp(5),tensor(0.0125),-6232.570084106092
 Nguyen-2_1_53,tan(x),tensor(0.5785),0.46930216698258354
 Nguyen-2_1_54,sin(x) + 2,tensor(0.4104),-1.0642016391116593
 Nguyen-2_1_55,x**3*cos(2),tensor(0.4554),-0.4299421547579658
 Nguyen-2_1_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1955e0>>
 Nguyen-2_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1950a0>>
 Nguyen-2_1_58,cos(4*x),tensor(0.4028),-1.1985644827812165
 Nguyen-2_1_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c195280>>
 Nguyen-2_1_60,x - 2/x,tensor(0.0947),-90.35895801871003
 Nguyen-2_1_61,x*(6*x + 1),tensor(0.3515),-2.404216371264089
 Nguyen-2_1_62,x*log(x**2) + exp(-x),tensor(0.3334),-2.999001114652671
 Nguyen-2_1_63,4*x*(2*x + 5),tensor(0.0916),-97.43189681629397
 Nguyen-2_1_64,x**2*cosh(1),tensor(0.5310),0.2197342157484804
 Nguyen-2_1_65,4*x**3 + 2*x,tensor(0.3622),-2.101470526837859
 Nguyen-2_1_66,4*x**3 + tan(x),tensor(0.4079),-1.1068852142492318
 Nguyen-2_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec1a9e50>>
 Nguyen-2_1_68,sin(x),tensor(0.5542),0.3531309668268978
 Nguyen-2_1_69,cos(2*x),tensor(0.4489),-0.5068701634101627
 Nguyen-2_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a46a0>>
 Nguyen-2_1_71,x + x/(x + 4),tensor(0.5646),0.40522088963442837
 Nguyen-2_1_72,x**2*(2 - x),tensor(0.4457),-0.5472739780075622
 Nguyen-2_1_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69a90ac0>>
 Nguyen-2_1_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69930820>>
 Nguyen-2_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699c9610>>
 Nguyen-2_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaa9a0>>
 Nguyen-2_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699c9220>>
 Nguyen-2_1_78,x**2*(x + 1),tensor(0.6235),0.63540476784599
 Nguyen-2_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f989d0>>
 Nguyen-2_1_80,-x - 3*acosh(x),tensor(0.),0
 Nguyen-2_1_81,x*tan(4*x) + x,tensor(0.0573),-269.5652966788545
 Nguyen-2_1_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac52f880>>
 Nguyen-2_1_83,2*x**3*sinh(x),tensor(0.5376),0.2604862538083621
 Nguyen-2_1_84,x*(x**3 + x),tensor(0.5346),0.24226137067291187
 Nguyen-2_1_85,x**2*(x + 2),tensor(0.6309),0.657842912092448
 Nguyen-2_1_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76426580>>
 Nguyen-2_1_87,1/tan(x),tensor(0.1774),-20.491686193560813
 Nguyen-2_1_88,4*x,tensor(0.3934),-1.37780970754847
 Nguyen-2_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac52f760>>
 Nguyen-2_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac52f6d0>>
 Nguyen-2_1_91,x**2 - x,tensor(0.4131),-1.0177221440694777
 Nguyen-2_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaa5e0>>
 Nguyen-2_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60dc7580>>
 Nguyen-2_1_94,x**2 + 2*sin(x),tensor(0.7217),0.8513646925414406
 Nguyen-2_1_95,x*tanh(x**2),tensor(0.5303),0.21558669024119226
 Nguyen-2_1_96,8*x,tensor(0.2183),-11.8200887881471
 Nguyen-2_1_97,x + 4*sin(x),tensor(0.3509),-2.421273682431485
 Nguyen-2_1_98,2*x - cos(x),tensor(0.4214),-0.8849284276672458
 Nguyen-2_1_99,4*x + acos(x),tensor(0.4713),-0.2588402596387773
 Nguyen-2_1_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98910>>
 Nguyen-2_1_101,x*cos(5),tensor(0.5057),0.04493246195769007
 Nguyen-2_1_102,2*x*cos(2),tensor(0.4092),-1.08471241211608
 Nguyen-2_1_103,x*(x + 1) + 2*x,tensor(0.5426),0.2892624114319444
 Nguyen-2_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7be0>>
 Nguyen-2_1_105,4*log(x),tensor(0.),0
 Nguyen-2_1_106,x*asinh(2*x),tensor(0.5282),0.20234960580008488
 Nguyen-2_1_107,cos(1)/x,tensor(0.2790),-5.676468686063936
 Nguyen-2_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a4880>>
 Nguyen-2_1_109,x/(x**2 + x),tensor(0.1552),-28.623957698552942
 Nguyen-2_1_110,x**2 + 5*x,tensor(0.3476),-2.521689766142861
 Nguyen-2_1_111,x*(x + 2),tensor(0.7072),0.8286273863879683
 Nguyen-2_1_112,3*x**2,tensor(0.4809),-0.16491973583877595
 Nguyen-2_1_113,sin(x),tensor(0.5542),0.3531309668268978
 Nguyen-2_1_114,x - exp(-x),tensor(0.3610),-2.133022395508102
 Nguyen-2_1_115,-2*x**2 + x,tensor(0.3900),-1.446227896723272
 Nguyen-2_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c195e80>>
 Nguyen-2_1_117,x + 2/x,tensor(0.0955),-88.78296054364561
 Nguyen-2_1_118,x + 5,tensor(0.2004),-14.913980739936127
 Nguyen-2_1_119,x**2*(x - 1),tensor(0.4539),-0.4478949313665872
 Nguyen-2_1_120,x**2,tensor(0.5240),0.17513510863725734
 Nguyen-2_1_121,3*x + 1,tensor(0.5191),0.14191153934265266
 Nguyen-2_1_122,-x**3 + 2*x,tensor(0.5604),0.3845054144407487
 Nguyen-2_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98d90>>
 Nguyen-2_1_124,(x + 1)/x,tensor(0.1731),-21.81046552400815
 Nguyen-2_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a4bb0>>
 Nguyen-2_1_126,4,tensor(0.),0
 Nguyen-2_1_127,x**2 + x,tensor(0.6861),0.7905849521230726
 Nguyen-2_2_0,1 - 3*x,tensor(0.2775),-5.780111636918905
 Nguyen-2_2_1,x*(4 - x),tensor(0.3559),-2.274250579258495
 Nguyen-2_2_2,x*(x + 3) + x,tensor(0.4252),-0.827509972744999
 Nguyen-2_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaad90>>
 Nguyen-2_2_4,x/tan(3) + x,tensor(0.1963),-15.756563200441253
 Nguyen-2_2_5,x*(2*x + 2),tensor(0.7934),0.9322282584440574
 Nguyen-2_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c195160>>
 Nguyen-2_2_7,x - 1/x,tensor(0.1710),-22.493397834499927
 Nguyen-2_2_8,x*(x**5 + 3),tensor(0.5107),0.08184014165102338
 Nguyen-2_2_9,x**2*cosh(x),tensor(0.5335),0.23511257671184382
 Nguyen-2_2_10,exp(2*x),tensor(0.4346),-0.6928485644290525
 Nguyen-2_2_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69a90ca0>>
 Nguyen-2_2_12,(x**3 + x)**4,tensor(0.2462),-8.372863284156724
 Nguyen-2_2_13,-x**2 + 4*x,tensor(0.3559),-2.2742505792584953
 Nguyen-2_2_14,x**2 - 2*log(x),tensor(0.),0
 Nguyen-2_2_15,-5/x,tensor(0.0401),-572.2756331985026
 Nguyen-2_2_16,5*x*sin(5),tensor(0.2247),-10.904889533761883
 Nguyen-2_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d2aa90>>
 Nguyen-2_2_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d2a100>>
 Nguyen-2_2_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d2a6d0>>
 Nguyen-2_2_20,log(9*x**4) + sin(x),tensor(0.2669),-6.54216895111262
 Nguyen-2_2_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d2a700>>
 Nguyen-2_2_22,x**2/atan(4),tensor(0.5162),0.12140330094118412
 Nguyen-2_2_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ff1fd0>>
 Nguyen-2_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ff16a0>>
 Nguyen-2_2_25,2*x*cosh(x),tensor(0.5138),0.1046559268766949
 Nguyen-2_2_26,4*x*sin(x),tensor(0.4475),-0.5239813418166952
 Nguyen-2_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a4550>>
 Nguyen-2_2_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a4e50>>
 Nguyen-2_2_29,log(x**5),tensor(0.),0
 Nguyen-2_2_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699c9dc0>>
 Nguyen-2_2_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a4760>>
 Nguyen-2_2_32,x*(x + 5),tensor(0.3476),-2.521689766142862
 Nguyen-2_2_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a45b0>>
 Nguyen-2_2_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68e39070>>
 Nguyen-2_2_35,2*cosh(x)**2,tensor(0.3005),-4.419272691819544
 Nguyen-2_2_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98820>>
 Nguyen-2_2_37,log(2),tensor(0.),0
 Nguyen-2_2_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ee7310>>
 Nguyen-2_2_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d2a970>>
 Nguyen-2_2_40,x*cosh(x) - 2*x,tensor(0.4225),-0.8680555486786523
 Nguyen-2_2_41,-2*x + exp(-x),tensor(0.2712),-6.222382620192592
