Absolute Value_0_0,x + tan(x),tensor(0.1743),-21.433991330247977
Absolute Value_0_44,2*x + atan(x),tensor(0.1629),-25.423901537177862
Absolute Value_0_45,x**2 + exp(x) - cos(x),tensor(0.1628),-25.453343332349792
Absolute Value_0_46,2*x*cos(1),tensor(0.1994),-15.12547181591734
Absolute Value_0_47,sin(x) + cos(x),tensor(0.1596),-26.73776985564428
Absolute Value_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2755a1f0>>
Absolute Value_0_49,2*x + exp(x),tensor(0.1280),-45.41086644785588
Absolute Value_0_50,x*(x + sin(x)),tensor(0.1737),-21.619185160955066
Absolute Value_0_51,2*atanh(x),tensor(0.1584),-27.250515880499197
Absolute Value_0_52,log(x + 1),tensor(0.2027),-14.473553504566434
Absolute Value_0_53,x**2*log(4),tensor(0.1843),-18.589560174004017
Absolute Value_0_54,x + x*log(3),tensor(0.1782),-20.256380601365954
Absolute Value_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2757bbe0>>
Absolute Value_0_56,-log(cos(x)),tensor(0.2032),-14.373917756273771
Absolute Value_0_57,4*x*exp(x),tensor(0.1009),-78.44463146052583
Absolute Value_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c156760>>
Absolute Value_0_59,sin(x + 2),tensor(0.1712),-22.444932029285994
Absolute Value_0_60,x*sin(x)**3,tensor(0.2066),-13.74607340749837
Absolute Value_0_61,x**2*sin(4),tensor(0.2376),-9.293974562374741
Absolute Value_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271ff610>>
Absolute Value_0_63,4*x**3 + x,tensor(0.1504),-30.897589476739334
Absolute Value_0_64,x**5/5,tensor(0.2164),-12.11772047481361
Absolute Value_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27505880>>
Absolute Value_0_66,x**2*sin(1),tensor(0.1966),-15.704520051140783
Absolute Value_0_67,log(x + 1)/2,tensor(0.2148),-12.368608462243637
Absolute Value_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26f6f2e0>>
Absolute Value_0_69,x + atan(x),tensor(0.1833),-18.849678598518462
Absolute Value_0_70,x + atan(5*x),tensor(0.1624),-25.589754369137616
Absolute Value_0_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d277f9c10>>
Absolute Value_0_72,tan(2*x),tensor(0.0050),-38925.05830363361
Absolute Value_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc088460>>
Absolute Value_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d941ed0d0>>
Absolute Value_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4018fd60>>
Absolute Value_0_76,x/sin(3),tensor(0.1027),-75.35982018905433
Absolute Value_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc16d340>>
Absolute Value_0_78,sin(x + 4),tensor(0.2940),-4.768707779671884
Absolute Value_0_79,-x*cos(x),tensor(0.2230),-11.14322585392547
Absolute Value_0_80,1/(x**5 + x),tensor(0.0035),-81789.3983187659
Absolute Value_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc7c0>>
Absolute Value_0_82,-3/(2*x**2),tensor(2.2923e-07),-19030188538542.9
Absolute Value_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06dd90>>
Absolute Value_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d277a5b20>>
Absolute Value_0_85,x**3*cos(4),tensor(0.2212),-11.40091749011863
Absolute Value_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d277a59a0>>
Absolute Value_0_87,x**2/2,tensor(0.2048),-14.077692871286152
Absolute Value_0_88,-4*sin(2*x),tensor(0.1506),-30.809815668223084
Absolute Value_0_89,x**2,tensor(0.1929),-16.50728643647005
Absolute Value_0_90,x**5 + 1,tensor(0.1566),-28.024181385406823
Absolute Value_0_91,x + sin(5),tensor(0.2725),-6.130157250582312
Absolute Value_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06daf0>>
Absolute Value_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06db50>>
Absolute Value_0_94,cos(x) + 1,tensor(0.1292),-44.41830422314142
Absolute Value_0_95,4*x**4,tensor(0.1596),-26.71534074513568
Absolute Value_0_96,x**2*cos(4),tensor(0.2348),-9.615297281026779
Absolute Value_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ebd7c0>>
Absolute Value_0_98,x*(x + 4),tensor(0.1354),-39.7864591908384
Absolute Value_0_99,x*(x + 4),tensor(0.1354),-39.7864591908384
Absolute Value_0_100,x**2 + cos(x),tensor(0.1517),-30.28123442954364
Absolute Value_0_101,-x**2 + 4*x,tensor(0.1479),-32.19791838685754
Absolute Value_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ecf4f0>>
Absolute Value_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26f01a00>>
Absolute Value_0_104,x + cos(x) + 1,tensor(0.1260),-47.15668748434057
Absolute Value_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26f01c40>>
Absolute Value_0_106,sin(x) + cos(x),tensor(0.1596),-26.73776985564428
Absolute Value_0_107,x*acosh(x),tensor(0.),0
Absolute Value_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271be910>>
Absolute Value_0_109,cos(x) + sin(2),tensor(0.1319),-42.34295942025469
Absolute Value_0_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271024c0>>
Absolute Value_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271023a0>>
Absolute Value_0_112,sin(x + 2),tensor(0.1712),-22.444932029285994
Absolute Value_0_113,3*x + tan(x),tensor(0.1376),-38.292485233738596
Absolute Value_0_114,2*log(x**2),tensor(0.1117),-62.28566401277486
Absolute Value_0_115,-x + exp(x),tensor(0.1513),-30.48495711753983
Absolute Value_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271afb80>>
Absolute Value_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d274add30>>
Absolute Value_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d274ad610>>
Absolute Value_0_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271ff550>>
Absolute Value_0_120,x*cos(x) + 2*x,tensor(0.1656),-24.40457137250417
Absolute Value_0_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fc1520>>
Absolute Value_0_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754b610>>
Absolute Value_0_123,2*x + cos(x),tensor(0.1485),-31.904354455024503
Absolute Value_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fc1fd0>>
Absolute Value_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2757b520>>
Absolute Value_0_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4008d460>>
Absolute Value_0_127,1/cos(x),tensor(0.1495),-31.342074756251513
Absolute Value_1_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc10d130>>
Absolute Value_1_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc10d190>>
Absolute Value_1_2,x**3/3,tensor(0.2148),-12.367126766746532
Absolute Value_1_3,zoo,tensor(0.),0
Absolute Value_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fcdf0>>
Absolute Value_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d275055b0>>
Absolute Value_1_6,exp(x + 3),tensor(0.0196),-2498.8307791094744
Absolute Value_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27505b20>>
Absolute Value_1_8,log(3/2),tensor(0.),0
Absolute Value_1_9,2*exp(x),tensor(0.1091),-65.69156913843779
Absolute Value_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fe2bb0>>
Absolute Value_1_11,2*x + 2*log(x),tensor(0.),0
Absolute Value_1_12,x + exp(acos(x)),tensor(0.0623),-225.51086954570783
Absolute Value_1_13,-x**2 + 2*x,tensor(0.1934),-16.39077941013182
Absolute Value_1_14,x,tensor(0.2010),-14.807802420438376
Absolute Value_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a67c0>>
Absolute Value_1_16,1/(x + 5),tensor(0.2029),-14.434081504303895
Absolute Value_1_17,-x + x*log(2),tensor(0.2207),-11.471338448155818
Absolute Value_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc430>>
Absolute Value_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc1c0>>
Absolute Value_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc5b0>>
Absolute Value_1_21,x*acos(x) + x,tensor(0.1801),-19.719937711756288
Absolute Value_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fccd0>>
Absolute Value_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27505b50>>
Absolute Value_1_24,log(x + 5),tensor(0.1360),-39.36592532584289
Absolute Value_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403df520>>
Absolute Value_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403df640>>
Absolute Value_1_27,2*x,tensor(0.1803),-19.66865905860088
Absolute Value_1_28,4*x*asin(x),tensor(0.1284),-45.093619831233006
Absolute Value_1_29,x*(x + exp(x)),tensor(0.1588),-27.068543331848897
Absolute Value_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1a90>>
Absolute Value_1_31,x**2*asinh(x),tensor(0.2091),-13.310998458684804
Absolute Value_1_32,x*(x - 1),tensor(0.1966),-15.689554998665383
Absolute Value_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06aac0>>
Absolute Value_1_34,x,tensor(0.2010),-14.807802420438376
Absolute Value_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1730>>
Absolute Value_1_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763cf40>>
Absolute Value_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763c0a0>>
Absolute Value_1_38,x*(2 - x),tensor(0.1934),-16.39077941013182
Absolute Value_1_39,x*(2 - x),tensor(0.1934),-16.39077941013182
Absolute Value_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27727a00>>
Absolute Value_1_41,9*x/4,tensor(0.1751),-21.196502077565718
Absolute Value_1_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48177a90>>
Absolute Value_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48177970>>
Absolute Value_1_44,x*(5*x + 5),tensor(0.1000),-80.00370901072014
Absolute Value_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8610>>
Absolute Value_1_46,x*sinh(x),tensor(0.1904),-17.074240757718897
Absolute Value_1_47,x*(2*x + 5),tensor(0.1168),-56.159135791411956
Absolute Value_1_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754ba00>>
Absolute Value_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754bbe0>>
Absolute Value_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754bd00>>
Absolute Value_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754bcd0>>
Absolute Value_1_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754b100>>
Absolute Value_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754be80>>
Absolute Value_1_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c83a0>>
Absolute Value_1_55,-sinh(x),tensor(0.2232),-11.115700281777526
Absolute Value_1_56,x**3*exp(x),tensor(0.1890),-17.401584053268802
Absolute Value_1_57,5*x*sin(x),tensor(0.1328),-41.616249972042965
Absolute Value_1_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a3340>>
Absolute Value_1_59,x*(x + 1/2),tensor(0.1880),-17.666461417990494
Absolute Value_1_60,2*x**3 + x,tensor(0.1753),-21.144666996966503
Absolute Value_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197580>>
Absolute Value_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48177fd0>>
Absolute Value_1_63,-atan(x),tensor(0.2233),-11.091990915642615
Absolute Value_1_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48177850>>
Absolute Value_1_65,x**2*asin(x),tensor(0.2052),-13.99379106467449
Absolute Value_1_66,4*x,tensor(0.1422),-35.39284643587079
Absolute Value_1_67,5*log(cos(x)),tensor(0.2773),-5.791882162020504
Absolute Value_1_68,2 - 2*x,tensor(0.1243),-48.63707555564041
Absolute Value_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1cd0>>
Absolute Value_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06af10>>
Absolute Value_1_71,1/(x + 5),tensor(0.2029),-14.434081504303895
Absolute Value_1_72,3*x + sin(x),tensor(0.1438),-34.45320423135528
Absolute Value_1_73,2*x**5/5,tensor(0.2151),-12.309235232640996
Absolute Value_1_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d275052b0>>
Absolute Value_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a6ee0>>
Absolute Value_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a6af0>>
Absolute Value_1_77,4*x**3/3,tensor(0.2042),-14.194538603087725
Absolute Value_1_78,2*x*sinh(x),tensor(0.1675),-23.7152580715977
Absolute Value_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fe2b50>>
Absolute Value_1_80,sin(x)*cos(5),tensor(0.2140),-12.49024030954355
Absolute Value_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fe21f0>>
Absolute Value_1_82,x + 3*cos(x),tensor(0.1097),-64.88929427396906
Absolute Value_1_83,x*(3 - x),tensor(0.1687),-23.293936548337193
Absolute Value_1_84,exp(-x),tensor(0.1532),-29.55962966488416
Absolute Value_1_85,sin(log(x**3)),tensor(0.),0
Absolute Value_1_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a6040>>
Absolute Value_1_87,x**3*cos(1),tensor(0.2129),-12.67525841609965
Absolute Value_1_88,2*x*acos(x),tensor(0.1716),-22.295347749248723
Absolute Value_1_89,E*x**4,tensor(0.1763),-20.830485889568763
Absolute Value_1_90,5*x + 4,tensor(0.0774),-141.2702217839454
Absolute Value_1_91,2*x*asinh(x),tensor(0.1749),-21.240563186267398
Absolute Value_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a68e0>>
Absolute Value_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0a6490>>
Absolute Value_1_94,x**2*(x + sin(x)),tensor(0.1973),-15.55475893410037
Absolute Value_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763c190>>
Absolute Value_1_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763cb20>>
Absolute Value_1_97,7*x**4,tensor(0.1288),-44.73997812447469
Absolute Value_1_98,sin(x)**3,tensor(0.2114),-12.921963183576617
Absolute Value_1_99,x**2*tan(5),tensor(0.2831),-5.4095577094928045
Absolute Value_1_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8910>>
Absolute Value_1_101,x*(x + 3),tensor(0.1503),-30.965428951773855
Absolute Value_1_102,1/10,tensor(0.),0
Absolute Value_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e4160>>
Absolute Value_1_104,x + cos(x)**2,tensor(0.1632),-25.30323070651132
Absolute Value_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0f10>>
Absolute Value_1_106,x*(x + 5),tensor(0.1222),-50.6083141302179
Absolute Value_1_107,4*x*cosh(x),tensor(0.1230),-49.87680778078057
Absolute Value_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc0a0>>
Absolute Value_1_109,8*x**3,tensor(0.1248),-48.20209856053687
Absolute Value_1_110,(x**2 + 1)**3,tensor(0.1011),-77.99961501199736
Absolute Value_1_111,x,tensor(0.2010),-14.807802420438376
Absolute Value_1_112,x**2/sin(2),tensor(0.1906),-17.027846945337732
Absolute Value_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754b670>>
Absolute Value_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fcaf0>>
Absolute Value_1_115,2/(x + 2),tensor(0.1564),-28.107601245402044
Absolute Value_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763c130>>
Absolute Value_1_117,sin(x)**3,tensor(0.2114),-12.921963183576617
Absolute Value_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc520>>
Absolute Value_1_119,log(x**5),tensor(0.),0
Absolute Value_1_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e4ee0>>
Absolute Value_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e4b50>>
Absolute Value_1_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e4280>>
Absolute Value_1_123,x*(sqrt(x) + 1),tensor(0.),0
Absolute Value_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a01f0>>
Absolute Value_1_125,2*x + log(3),tensor(0.1406),-36.36417839561986
Absolute Value_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403df910>>
Absolute Value_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197ee0>>
Absolute Value_2_0,log(x + 2),tensor(0.1718),-22.254518085779925
Absolute Value_2_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27505df0>>
Absolute Value_2_2,x + asin(x),tensor(0.1766),-20.749997886560788
Absolute Value_2_3,x**2*sin(3)/2,tensor(0.2156),-12.2301843020944
Absolute Value_2_4,x*(x + 3),tensor(0.1503),-30.965428951773855
Absolute Value_2_5,x,tensor(0.2010),-14.807802420438376
Absolute Value_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fe2070>>
Absolute Value_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c3910>>
Absolute Value_2_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c37c0>>
Absolute Value_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c3370>>
Absolute Value_2_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c39d0>>
Absolute Value_2_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c3580>>
Absolute Value_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276f5310>>
Absolute Value_2_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276f5040>>
Absolute Value_2_14,x*(2*x + 4),tensor(0.1280),-45.37875665176034
Absolute Value_2_15,log(x) + asinh(x),tensor(0.),0
Absolute Value_2_16,5*x/3,tensor(0.1873),-17.82605965695616
Absolute Value_2_17,3*x - sin(x),tensor(0.1783),-20.24466908424656
Absolute Value_2_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc18e4c0>>
Absolute Value_2_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403dfd30>>
Absolute Value_2_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403df9a0>>
Absolute Value_2_21,atan(x + 3),tensor(0.1489),-31.668889137932
Absolute Value_2_22,x*asinh(x) + 3*x,tensor(0.1511),-30.567093763459308
Absolute Value_2_23,sin(x + 3),tensor(0.2135),-12.567236362808014
Absolute Value_2_24,sin(x + 2),tensor(0.1712),-22.444932029285994
Absolute Value_2_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0700>>
Absolute Value_2_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0070>>
Absolute Value_2_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0ca0>>
Absolute Value_2_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0fd0>>
Absolute Value_2_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197c70>>
Absolute Value_2_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197f40>>
Absolute Value_2_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271974f0>>
Absolute Value_2_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1f10>>
Absolute Value_2_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1a30>>
Absolute Value_2_34,x**2 - cos(x**3),tensor(0.2705),-6.274219719741096
Absolute Value_2_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8220>>
Absolute Value_2_36,x**2 + x - 1,tensor(0.2459),-8.399800553105926
Absolute Value_2_37,3*tanh(x),tensor(0.1692),-23.09579955221126
Absolute Value_2_38,x*(4 - x),tensor(0.1479),-32.19791838685754
Absolute Value_2_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1640>>
Absolute Value_2_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1940>>
Absolute Value_2_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b17c0>>
Absolute Value_2_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1ee0>>
Absolute Value_2_43,8*x**9/9,tensor(0.2138),-12.515771992752535
Absolute Value_2_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d403dfb20>>
