 Nguyen-5_0_0,x + tan(x),tensor(0.2285),-10.400959550225325
 Nguyen-5_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e049a070>>
 Nguyen-5_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a0106520>>
 Nguyen-5_0_87,cos(x + 4),tensor(0.4586),-0.39404806945473503
 Nguyen-5_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528178c10>>
 Nguyen-5_0_89,sin(x) - 4*cos(x),tensor(0.1406),-36.388773447047114
 Nguyen-5_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0535160>>
 Nguyen-5_0_91,sqrt(x) + 4,tensor(0.),0
 Nguyen-5_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc08db50>>
 Nguyen-5_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508101b20>>
 Nguyen-5_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081012b0>>
 Nguyen-5_0_95,x**2 + exp(x),tensor(0.1333),-41.28884783246789
 Nguyen-5_0_96,log(x + 3),tensor(0.1577),-27.53605959735512
 Nguyen-5_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987de520>>
 Nguyen-5_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e056e820>>
 Nguyen-5_0_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc074940>>
 Nguyen-5_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b84f0>>
 Nguyen-5_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b8520>>
 Nguyen-5_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc074cd0>>
 Nguyen-5_0_103,3*x + sin(x),tensor(0.1588),-27.076846922471873
 Nguyen-5_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816dbb0>>
 Nguyen-5_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816d700>>
 Nguyen-5_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b87f0>>
 Nguyen-5_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0439ac0>>
 Nguyen-5_0_108,2*x**2 + 2*x,tensor(0.1733),-21.76375331884829
 Nguyen-5_0_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54812f9d0>>
 Nguyen-5_0_110,4*x*exp(x),tensor(0.0957),-88.33299263336959
 Nguyen-5_0_111,(x + 1)**2,tensor(0.1402),-36.62888071987481
 Nguyen-5_0_112,cos(x + 1),tensor(0.1842),-18.624809189383313
 Nguyen-5_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080be970>>
 Nguyen-5_0_114,x + 1 + tan(1),tensor(0.1001),-79.83603481988845
 Nguyen-5_0_115,sinh(x + 3),tensor(0.0279),-1216.7824499702087
 Nguyen-5_0_116,x*(x + exp(x)) + x,tensor(0.1653),-24.497830926749756
 Nguyen-5_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00e9820>>
 Nguyen-5_0_118,-tanh(x),tensor(0.2189),-11.728706490456982
 Nguyen-5_0_119,x + cos(x) + 1,tensor(0.1225),-50.33382800483
 Nguyen-5_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038df0>>
 Nguyen-5_0_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03e45b0>>
 Nguyen-5_0_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03e4b50>>
 Nguyen-5_0_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528178a60>>
 Nguyen-5_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528178820>>
 Nguyen-5_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528178790>>
 Nguyen-5_0_126,-sin(x + 6),tensor(0.1977),-15.47608333377686
 Nguyen-5_0_127,-2*x + asinh(x),tensor(0.2074),-13.601391576238461
 Nguyen-5_1_0,x**2 + x + 1/x,tensor(0.0262),-1380.3307672215597
 Nguyen-5_1_1,x**2/2 + sinh(x),tensor(0.2490),-8.092766628438826
 Nguyen-5_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053efa0>>
 Nguyen-5_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ed90>>
 Nguyen-5_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e7c0>>
 Nguyen-5_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ec70>>
 Nguyen-5_1_6,exp(x + 3),tensor(0.0145),-4623.922956500452
 Nguyen-5_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e4c0>>
 Nguyen-5_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ec10>>
 Nguyen-5_1_9,exp(x/2),tensor(0.1609),-26.207996687431834
 Nguyen-5_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816dd00>>
 Nguyen-5_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816dfd0>>
 Nguyen-5_1_12,2*x**2 + x,tensor(0.1802),-19.683190155439746
 Nguyen-5_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03ccd30>>
 Nguyen-5_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099c40>>
 Nguyen-5_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099220>>
 Nguyen-5_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099e20>>
 Nguyen-5_1_17,6*x**2,tensor(0.0970),-85.6546858969266
 Nguyen-5_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281efdc0>>
 Nguyen-5_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ef4c0>>
 Nguyen-5_1_20,2*x*(x + 5),tensor(0.0655),-202.70780534556997
 Nguyen-5_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05ab670>>
 Nguyen-5_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5e00caf70>>
 Nguyen-5_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816d7f0>>
 Nguyen-5_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816d7c0>>
 Nguyen-5_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6070>>
 Nguyen-5_1_26,3*x + 1/3,tensor(0.1769),-20.6444117964951
 Nguyen-5_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0b50>>
 Nguyen-5_1_28,x**2 + acosh(x),tensor(0.),0
 Nguyen-5_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ef550>>
 Nguyen-5_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038af0>>
 Nguyen-5_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038130>>
 Nguyen-5_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038d60>>
 Nguyen-5_1_33,(x + 1)*exp(x),tensor(0.1269),-46.357627591741085
 Nguyen-5_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc067c40>>
 Nguyen-5_1_35,0,tensor(0.),0
 Nguyen-5_1_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc067520>>
 Nguyen-5_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc0673d0>>
 Nguyen-5_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a04f0>>
 Nguyen-5_1_39,x*(x + 1),tensor(0.2226),-11.200219299404575
 Nguyen-5_1_40,x + log(x),tensor(0.),0
 Nguyen-5_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052c190>>
 Nguyen-5_1_42,2*x*(x + 4),tensor(0.0803),-130.08853455231403
 Nguyen-5_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6e50>>
 Nguyen-5_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b63a0>>
 Nguyen-5_1_45,x**4,tensor(0.2267),-10.63144339354447
 Nguyen-5_1_46,2*x**2*exp(-1),tensor(0.2222),-11.253646086552655
 Nguyen-5_1_47,tan(x)**4,tensor(0.1533),-29.521315159787495
 Nguyen-5_1_48,-2*x/7,tensor(0.2481),-8.181434707629714
 Nguyen-5_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481dcf70>>
 Nguyen-5_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052cb80>>
 Nguyen-5_1_51,(x + 5)**4,tensor(0.0006),-3297930.734183447
 Nguyen-5_1_52,x**2*acos(4)/2,tensor(0.),0
 Nguyen-5_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038310>>
 Nguyen-5_1_54,x**2*(2*x + 4),tensor(0.1283),-45.130506456794016
 Nguyen-5_1_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680ed190>>
 Nguyen-5_1_56,2*sin(2*x),tensor(0.2103),-13.107727034214548
 Nguyen-5_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281eff40>>
 Nguyen-5_1_58,6*x**5,tensor(0.1802),-19.696452743408805
 Nguyen-5_1_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099b50>>
 Nguyen-5_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099cd0>>
 Nguyen-5_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099580>>
 Nguyen-5_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099250>>
 Nguyen-5_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099e80>>
 Nguyen-5_1_64,x + cos(x),tensor(0.1772),-20.571448251991495
 Nguyen-5_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5880993d0>>
 Nguyen-5_1_66,x**2*(x + cos(x)),tensor(0.2348),-9.615139803170091
 Nguyen-5_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a77f0>>
 Nguyen-5_1_68,x + cosh(x) + 1,tensor(0.1104),-63.915762719841894
 Nguyen-5_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ef3a0>>
 Nguyen-5_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05abd60>>
 Nguyen-5_1_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0cd0>>
 Nguyen-5_1_72,-x + tanh(x),tensor(0.2548),-7.556574577892185
 Nguyen-5_1_73,4*x**2 + x,tensor(0.1286),-44.90115057961591
 Nguyen-5_1_74,sin(1)/x,tensor(0.0312),-964.6982661881233
 Nguyen-5_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1ea700>>
 Nguyen-5_1_76,asin(x + 1),tensor(0.),0
 Nguyen-5_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1eaeb0>>
 Nguyen-5_1_78,sin(x + 4),tensor(0.3097),-3.969949628953107
 Nguyen-5_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1eaaf0>>
 Nguyen-5_1_80,2*x**3 + x,tensor(0.2272),-10.565683011886605
 Nguyen-5_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ecd0>>
 Nguyen-5_1_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816ddf0>>
 Nguyen-5_1_83,x + sin(3*x),tensor(0.2358),-9.501604516082557
 Nguyen-5_1_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03cc3a0>>
 Nguyen-5_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03ccb20>>
 Nguyen-5_1_86,x + cos(2),tensor(0.3952),-1.342907802877669
 Nguyen-5_1_87,x/2,tensor(0.2798),-5.626700841701521
 Nguyen-5_1_88,-x**2,tensor(0.3220),-3.432431826814539
 Nguyen-5_1_89,2*x + 2*tan(x),tensor(0.1384),-37.7800236462727
 Nguyen-5_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03cc2b0>>
 Nguyen-5_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e490>>
 Nguyen-5_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ea00>>
 Nguyen-5_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e070>>
 Nguyen-5_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053ed00>>
 Nguyen-5_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e4f0>>
 Nguyen-5_1_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816da00>>
 Nguyen-5_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816d2e0>>
 Nguyen-5_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816df10>>
 Nguyen-5_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816d0a0>>
 Nguyen-5_1_100,-log(cos(x)) + sin(x),tensor(0.2466),-8.334520549839015
 Nguyen-5_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1eaa90>>
 Nguyen-5_1_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1eaa00>>
 Nguyen-5_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099f40>>
 Nguyen-5_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588099490>>
 Nguyen-5_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5880996d0>>
 Nguyen-5_1_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5880997f0>>
 Nguyen-5_1_107,5*x + 1/3,tensor(0.1237),-49.16192841685419
 Nguyen-5_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280387f0>>
 Nguyen-5_1_109,x + sqrt(x + 1),tensor(0.1670),-23.868816079970227
 Nguyen-5_1_110,2*x + exp(x),tensor(0.1362),-39.23998087734944
 Nguyen-5_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0af0>>
 Nguyen-5_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a04c0>>
 Nguyen-5_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0550>>
 Nguyen-5_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a05b0>>
 Nguyen-5_1_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0460>>
 Nguyen-5_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a00d0>>
 Nguyen-5_1_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680edb20>>
 Nguyen-5_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680ed700>>
 Nguyen-5_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680edd30>>
 Nguyen-5_1_120,x**4 - cos(x),tensor(0.3541),-2.325901860578769
 Nguyen-5_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038b80>>
 Nguyen-5_1_122,2*x - sinh(x),tensor(0.2834),-5.392726003088168
 Nguyen-5_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc067850>>
 Nguyen-5_1_124,4*sin(x),tensor(0.1690),-23.18125622706872
 Nguyen-5_1_125,acos(6*x),tensor(0.),0
 Nguyen-5_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481dcdf0>>
 Nguyen-5_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a7f70>>
 Nguyen-5_2_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280382b0>>
 Nguyen-5_2_1,5*x + atan(x),tensor(0.1109),-63.246440924913514
 Nguyen-5_2_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3610>>
 Nguyen-5_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3940>>
 Nguyen-5_2_4,log(5*x),tensor(0.),0
 Nguyen-5_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3ca0>>
 Nguyen-5_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3520>>
 Nguyen-5_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680bd1f0>>
 Nguyen-5_2_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680bd490>>
 Nguyen-5_2_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680bdaf0>>
 Nguyen-5_2_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680bd820>>
 Nguyen-5_2_11,x**2*(x + sin(x)),tensor(0.2702),-6.295098219383202
 Nguyen-5_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038970>>
 Nguyen-5_2_13,x**2 - cos(x),tensor(0.3220),-3.4354533773808456
 Nguyen-5_2_14,(x + 4)/sqrt(x),tensor(0.),0
 Nguyen-5_2_15,x**2*(x + 6),tensor(0.0987),-82.32284267992854
 Nguyen-5_2_16,x*(x*exp(x) + 3),tensor(0.1507),-30.745360285500073
 Nguyen-5_2_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03ccfd0>>
 Nguyen-5_2_18,2*x + log(x),tensor(0.),0
 Nguyen-5_2_19,tan(2*x),tensor(0.0088),-12720.529209834482
