Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_0_27,log(x),tensor(0.),0
Polynomial with Complex Roots_0_28,x*(x + exp(x)),tensor(0.2451),-8.486284348495685
Polynomial with Complex Roots_0_29,2*x**2 + 4*x,tensor(0.2415),-8.862191748548108
Polynomial with Complex Roots_0_30,4*log(x),tensor(0.),0
Polynomial with Complex Roots_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395a90>>
Polynomial with Complex Roots_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4026730>>
Polynomial with Complex Roots_0_33,x*cosh(x) + 4*x,tensor(0.2132),-12.616324178574233
Polynomial with Complex Roots_0_34,5*asin(x),tensor(0.2102),-13.112654173909625
Polynomial with Complex Roots_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c1c40>>
Polynomial with Complex Roots_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c1d60>>
Polynomial with Complex Roots_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c1a60>>
Polynomial with Complex Roots_0_38,log(x)/4,tensor(0.),0
Polynomial with Complex Roots_0_39,x*(x**4 + 2),tensor(0.2212),-11.393244161686376
Polynomial with Complex Roots_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40a03d0>>
Polynomial with Complex Roots_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4073820>>
Polynomial with Complex Roots_0_42,log(x)/25,tensor(0.),0
Polynomial with Complex Roots_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1e7760>>
Polynomial with Complex Roots_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7ca0>>
Polynomial with Complex Roots_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10d190>>
Polynomial with Complex Roots_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10d040>>
Polynomial with Complex Roots_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40915b0>>
Polynomial with Complex Roots_0_48,x + 3,tensor(0.3610),-2.1338551420281155
Polynomial with Complex Roots_0_49,2*x*cos(x) - 2*sinh(x),tensor(0.2132),-12.61307791719541
Polynomial with Complex Roots_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13af40>>
Polynomial with Complex Roots_0_51,x**5 + x**2 + x,tensor(0.2320),-9.954364887112694
Polynomial with Complex Roots_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0383d0>>
Polynomial with Complex Roots_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a781007c0>>
Polynomial with Complex Roots_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1f2c10>>
Polynomial with Complex Roots_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0a0670>>
Polynomial with Complex Roots_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a781001c0>>
Polynomial with Complex Roots_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a78100eb0>>
Polynomial with Complex Roots_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810eac0>>
Polynomial with Complex Roots_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810ef10>>
Polynomial with Complex Roots_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810e220>>
Polynomial with Complex Roots_0_61,-2*x**2 + x + sin(x),tensor(0.2003),-14.933857972717352
Polynomial with Complex Roots_0_62,2*x**3 + x,tensor(0.2212),-11.402108029920647
Polynomial with Complex Roots_0_63,cos(3*x + 5),tensor(0.2188),-11.754111721677399
Polynomial with Complex Roots_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c156040>>
Polynomial with Complex Roots_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40cf310>>
Polynomial with Complex Roots_0_66,x**2 - cos(x),tensor(0.2044),-14.158875542080514
Polynomial with Complex Roots_0_67,x + tan(2),tensor(0.1701),-22.795622304816305
Polynomial with Complex Roots_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40388b0>>
Polynomial with Complex Roots_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b9b50>>
Polynomial with Complex Roots_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b9580>>
Polynomial with Complex Roots_0_71,5*x**3/3,tensor(0.2198),-11.595943974733718
Polynomial with Complex Roots_0_72,2*x + tan(x),tensor(0.2203),-11.530250582341404
Polynomial with Complex Roots_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062670>>
Polynomial with Complex Roots_0_74,2*x + 10,tensor(0.2700),-6.307695711073978
Polynomial with Complex Roots_0_75,x**2*log(x),tensor(0.),0
Polynomial with Complex Roots_0_76,x*exp(x + 5),tensor(0.0122),-6539.048788829494
Polynomial with Complex Roots_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176490>>
Polynomial with Complex Roots_0_78,-cos(2*x),tensor(0.2057),-13.90894045607241
Polynomial with Complex Roots_0_79,20*x,tensor(0.1205),-52.28331685543387
Polynomial with Complex Roots_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a24c0>>
Polynomial with Complex Roots_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c7c0>>
Polynomial with Complex Roots_0_82,1/(sqrt(x) + 3),tensor(0.),0
Polynomial with Complex Roots_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1a7fd0>>
Polynomial with Complex Roots_0_84,3*sinh(x),tensor(0.2202),-11.538485294863465
Polynomial with Complex Roots_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e670>>
Polynomial with Complex Roots_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7220>>
Polynomial with Complex Roots_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f70a0>>
Polynomial with Complex Roots_0_88,2*x**3*sin(x),tensor(0.2282),-10.432364484145394
Polynomial with Complex Roots_0_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c26bdc0>>
Polynomial with Complex Roots_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f9eb0>>
Polynomial with Complex Roots_0_91,x**2*(2 - x),tensor(0.2348),-9.62636325214658
Polynomial with Complex Roots_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c1fa0>>
Polynomial with Complex Roots_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5850>>
Polynomial with Complex Roots_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5880>>
Polynomial with Complex Roots_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5d60>>
Polynomial with Complex Roots_0_96,8*x**2,tensor(0.3013),-4.377383750631936
Polynomial with Complex Roots_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e7a30>>
Polynomial with Complex Roots_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e7130>>
Polynomial with Complex Roots_0_99,x + sqrt(x**3),tensor(0.),0
Polynomial with Complex Roots_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40cf220>>
Polynomial with Complex Roots_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40cfb80>>
Polynomial with Complex Roots_0_102,exp(5*x/6),tensor(0.2583),-7.24919570257426
Polynomial with Complex Roots_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa015e790>>
Polynomial with Complex Roots_0_104,x + log(x) + 4,tensor(0.),0
Polynomial with Complex Roots_0_105,acos(4*x),tensor(0.),0
Polynomial with Complex Roots_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a78100310>>
Polynomial with Complex Roots_0_107,x*cos(2),tensor(0.2151),-12.316014504347834
Polynomial with Complex Roots_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5490>>
Polynomial with Complex Roots_0_109,0,tensor(0.),0
Polynomial with Complex Roots_0_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012b0d0>>
Polynomial with Complex Roots_0_111,165*x,tensor(0.0167),-3447.720904442193
Polynomial with Complex Roots_0_112,x + sin(x)*cos(x),tensor(0.2208),-11.451533682213817
Polynomial with Complex Roots_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1da5b0>>
Polynomial with Complex Roots_0_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c16d670>>
Polynomial with Complex Roots_0_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c1850>>
Polynomial with Complex Roots_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f96a0>>
Polynomial with Complex Roots_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f5fd0>>
Polynomial with Complex Roots_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40cfb20>>
Polynomial with Complex Roots_0_119,x**3*tan(2),tensor(0.2102),-13.115573819184403
Polynomial with Complex Roots_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b70a0>>
Polynomial with Complex Roots_0_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1a7bb0>>
Polynomial with Complex Roots_0_122,x/(x + 1),tensor(0.1315),-42.58240013746317
Polynomial with Complex Roots_0_123,x - sinh(x),tensor(0.2164),-12.115846975559094
Polynomial with Complex Roots_0_124,5*x**3 + x,tensor(0.2175),-11.942939665157873
Polynomial with Complex Roots_0_125,1/(4*x),tensor(0.1580),-27.412285057573378
Polynomial with Complex Roots_0_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0ecaf0>>
Polynomial with Complex Roots_0_127,x**2*(x**2 + x) + x,tensor(0.2278),-10.48751019997066
Polynomial with Complex Roots_1_0,6*x + sin(x),tensor(0.2041),-14.210792493912576
Polynomial with Complex Roots_1_1,1/6,tensor(0.),0
Polynomial with Complex Roots_1_2,2*x - cos(x),tensor(0.1989),-15.225859629991916
Polynomial with Complex Roots_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19ed60>>
Polynomial with Complex Roots_1_4,2*x - asin(x),tensor(0.2193),-11.666933462272018
Polynomial with Complex Roots_1_5,exp(x + 2),tensor(0.2697),-6.335348259381847
Polynomial with Complex Roots_1_6,4*x*cos(x) + 2*sin(x),tensor(0.2157),-12.22339107423407
Polynomial with Complex Roots_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074d00>>
Polynomial with Complex Roots_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074a00>>
Polynomial with Complex Roots_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148310>>
Polynomial with Complex Roots_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1486d0>>
Polynomial with Complex Roots_1_11,4*x**2 + 2*x,tensor(0.2710),-6.2396490779929
Polynomial with Complex Roots_1_12,x*(2*x + 1),tensor(0.2428),-8.72083689731929
Polynomial with Complex Roots_1_13,x*(x**2 + x) + x + exp(x),tensor(0.2802),-5.597593546352159
Polynomial with Complex Roots_1_14,x*(3*x + 5),tensor(0.2481),-8.187611931269313
Polynomial with Complex Roots_1_15,x**2/2 + cos(x),tensor(0.2488),-8.117420742718721
Polynomial with Complex Roots_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9640>>
Polynomial with Complex Roots_1_17,3*x - cos(x),tensor(0.1985),-15.301968951284387
Polynomial with Complex Roots_1_18,2*x*exp(x),tensor(0.2476),-8.236721893564699
Polynomial with Complex Roots_1_19,x**2*exp(x)*sin(x),tensor(0.2259),-10.742039251540152
Polynomial with Complex Roots_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10a190>>
Polynomial with Complex Roots_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051040>>
Polynomial with Complex Roots_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051700>>
Polynomial with Complex Roots_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0511c0>>
Polynomial with Complex Roots_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051460>>
Polynomial with Complex Roots_1_25,(x**3 + x)**2,tensor(0.2450),-8.49754509233568
Polynomial with Complex Roots_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6be0>>
Polynomial with Complex Roots_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e64f0>>
Polynomial with Complex Roots_1_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6a90>>
Polynomial with Complex Roots_1_29,(x**4 + x)**2,tensor(0.2344),-9.666755989192756
Polynomial with Complex Roots_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39fca0>>
Polynomial with Complex Roots_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165f10>>
Polynomial with Complex Roots_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165100>>
Polynomial with Complex Roots_1_33,x*(exp(x) + 1),tensor(0.2341),-9.709397247475188
Polynomial with Complex Roots_1_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395250>>
Polynomial with Complex Roots_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395dc0>>
Polynomial with Complex Roots_1_36,x*(x + 3) + 2*x,tensor(0.2253),-10.825490666293057
Polynomial with Complex Roots_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c3959d0>>
Polynomial with Complex Roots_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5940>>
Polynomial with Complex Roots_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d51f0>>
Polynomial with Complex Roots_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5ee0>>
Polynomial with Complex Roots_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5c10>>
Polynomial with Complex Roots_1_42,x**2 + x + 1,tensor(0.2685),-6.425843306674374
Polynomial with Complex Roots_1_43,x**3*cosh(5),tensor(0.0553),-291.20656939713353
Polynomial with Complex Roots_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165910>>
Polynomial with Complex Roots_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165eb0>>
Polynomial with Complex Roots_1_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165a00>>
Polynomial with Complex Roots_1_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1655e0>>
Polynomial with Complex Roots_1_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165d30>>
Polynomial with Complex Roots_1_49,6*x + 3,tensor(0.3195),-3.5374623097561297
Polynomial with Complex Roots_1_50,x + cos(x) + 4,tensor(0.5307),0.2179641956618682
Polynomial with Complex Roots_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b77f0>>
Polynomial with Complex Roots_1_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7a60>>
Polynomial with Complex Roots_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7190>>
Polynomial with Complex Roots_1_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7a00>>
Polynomial with Complex Roots_1_55,x*exp(x + 1),tensor(0.2556),-7.4787830753315045
Polynomial with Complex Roots_1_56,x + 2,tensor(0.2984),-4.528536012922711
Polynomial with Complex Roots_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395ca0>>
Polynomial with Complex Roots_1_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0100>>
Polynomial with Complex Roots_1_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0be0>>
Polynomial with Complex Roots_1_60,5*x*sin(x),tensor(0.2681),-6.456146111941936
Polynomial with Complex Roots_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d98b0>>
Polynomial with Complex Roots_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9730>>
Polynomial with Complex Roots_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9ee0>>
Polynomial with Complex Roots_1_64,x**5,tensor(0.2183),-11.81776016494904
Polynomial with Complex Roots_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9e50>>
Polynomial with Complex Roots_1_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10ac40>>
Polynomial with Complex Roots_1_67,6*x**2*atan(x),tensor(0.2199),-11.588113810082497
Polynomial with Complex Roots_1_68,(2*x + 1)**3,tensor(0.2211),-11.412477010946166
Polynomial with Complex Roots_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c5fd490>>
Polynomial with Complex Roots_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc051700>>
Polynomial with Complex Roots_1_71,pi*x**2/4,tensor(0.2251),-10.853774278168416
Polynomial with Complex Roots_1_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1371c0>>
Polynomial with Complex Roots_1_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137550>>
Polynomial with Complex Roots_1_74,5*x/2,tensor(0.2211),-11.40438113473395
Polynomial with Complex Roots_1_75,x,tensor(0.2198),-11.597732945121802
Polynomial with Complex Roots_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137fa0>>
Polynomial with Complex Roots_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267550>>
Polynomial with Complex Roots_1_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2675b0>>
Polynomial with Complex Roots_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2678e0>>
Polynomial with Complex Roots_1_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39ff40>>
Polynomial with Complex Roots_1_81,sqrt(x**2 + x),tensor(0.),0
Polynomial with Complex Roots_1_82,-3*sin(x),tensor(0.2022),-14.577166593992676
Polynomial with Complex Roots_1_83,x*log(x**2) + x,tensor(0.2177),-11.913948789185346
Polynomial with Complex Roots_1_84,acos(x + 4),tensor(0.),0
Polynomial with Complex Roots_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1cac70>>
Polynomial with Complex Roots_1_86,acosh(x + 6),tensor(0.3159),-3.691442218714906
Polynomial with Complex Roots_1_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9e20>>
Polynomial with Complex Roots_1_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9130>>
Polynomial with Complex Roots_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9910>>
Polynomial with Complex Roots_1_90,1,tensor(0.),0
Polynomial with Complex Roots_1_91,x*sinh(5),tensor(0.0368),-683.0940455966967
Polynomial with Complex Roots_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9a60>>
Polynomial with Complex Roots_1_93,x**2*(x + 8),tensor(0.3086),-4.01765990761748
Polynomial with Complex Roots_1_94,-x - 1,tensor(0.1890),-17.40853257486282
Polynomial with Complex Roots_1_95,x**2 + x,tensor(0.2310),-10.080957421249405
Polynomial with Complex Roots_1_96,9*x**3,tensor(0.2093),-13.2646779719993
Polynomial with Complex Roots_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aa100>>
Polynomial with Complex Roots_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee430>>
Polynomial with Complex Roots_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee640>>
Polynomial with Complex Roots_1_100,(2*x + 1)**2,tensor(0.3172),-3.635025815155558
Polynomial with Complex Roots_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039f10>>
Polynomial with Complex Roots_1_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267670>>
Polynomial with Complex Roots_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9970>>
Polynomial with Complex Roots_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1d9c10>>
Polynomial with Complex Roots_1_105,x*(3*x + 5),tensor(0.2481),-8.187611931269313
Polynomial with Complex Roots_1_106,x**5*tan(2),tensor(0.2121),-12.80049306210521
Polynomial with Complex Roots_1_107,4 - x,tensor(0.3748),-1.7834925871509575
Polynomial with Complex Roots_1_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165130>>
Polynomial with Complex Roots_1_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165280>>
Polynomial with Complex Roots_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165c10>>
Polynomial with Complex Roots_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c165460>>
Polynomial with Complex Roots_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7310>>
Polynomial with Complex Roots_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7670>>
Polynomial with Complex Roots_1_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7df0>>
Polynomial with Complex Roots_1_115,3*x**2 + 6*x,tensor(0.2402),-9.003814278902523
Polynomial with Complex Roots_1_116,3*cos(x)/x,tensor(0.0202),-2346.3068947013753
Polynomial with Complex Roots_1_117,x*(x + exp(x)),tensor(0.2451),-8.486284348495685
Polynomial with Complex Roots_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6220>>
Polynomial with Complex Roots_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051160>>
Polynomial with Complex Roots_1_120,3*exp(1/x),tensor(0.),-8.958845352673278e+283
Polynomial with Complex Roots_1_121,x*(x + exp(4)),tensor(0.0497),-364.9234374772011
Polynomial with Complex Roots_1_122,5*x*(x + 4),tensor(0.1280),-45.38376357611338
Polynomial with Complex Roots_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa8e0>>
Polynomial with Complex Roots_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aad60>>
Polynomial with Complex Roots_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa700>>
Polynomial with Complex Roots_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa130>>
