Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b1c0>>
Square Root with Quadratic Term_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aaa60>>
Square Root with Quadratic Term_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44ca00>>
Square Root with Quadratic Term_0_82,x + atanh(x),tensor(0.0741),-155.25678482965102
Square Root with Quadratic Term_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6f2af0>>
Square Root with Quadratic Term_0_84,x + 3,tensor(0.2686),-6.411699382102256
Square Root with Quadratic Term_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b250>>
Square Root with Quadratic Term_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300411c0>>
Square Root with Quadratic Term_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306640>>
Square Root with Quadratic Term_0_88,x**3/16,tensor(0.0841),-117.46799053518473
Square Root with Quadratic Term_0_89,2*x*(x + sin(x)),tensor(0.1130),-60.6662684585986
Square Root with Quadratic Term_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e01241f0>>
Square Root with Quadratic Term_0_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998225d90>>
Square Root with Quadratic Term_0_92,sin(x),tensor(0.0823),-123.22604002212731
Square Root with Quadratic Term_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a04af0>>
Square Root with Quadratic Term_0_94,log(x + 3),tensor(0.1305),-43.41834582891535
Square Root with Quadratic Term_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6610>>
Square Root with Quadratic Term_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6850>>
Square Root with Quadratic Term_0_97,sin(x) + cos(x),tensor(0.1129),-60.753033820543976
Square Root with Quadratic Term_0_98,exp(x/8),tensor(0.1262),-46.90803946272389
Square Root with Quadratic Term_0_99,x + exp(2*x),tensor(0.0856),-113.12327731036369
Square Root with Quadratic Term_0_100,x + 1,tensor(0.1196),-53.19096678637582
Square Root with Quadratic Term_0_101,x*(4*x**2 + x),tensor(0.0794),-133.61496286597722
Square Root with Quadratic Term_0_102,-5*x + exp(x),tensor(0.0836),-119.02760653803642
Square Root with Quadratic Term_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0013910>>
Square Root with Quadratic Term_0_104,2*x**3/3 + sinh(x),tensor(0.0797),-132.33139351932937
Square Root with Quadratic Term_0_105,-tan(x - 2),tensor(9.3691e-05),-113899297.88125764
Square Root with Quadratic Term_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2548f40>>
Square Root with Quadratic Term_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2548340>>
Square Root with Quadratic Term_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc100d90>>
Square Root with Quadratic Term_0_109,2*x**2 - cos(x),tensor(0.0763),-145.74203266716844
Square Root with Quadratic Term_0_110,x + sin(3),tensor(0.0858),-112.3993211968426
Square Root with Quadratic Term_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5ecd0>>
Square Root with Quadratic Term_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5e760>>
Square Root with Quadratic Term_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281cc280>>
Square Root with Quadratic Term_0_114,atan(4*x),tensor(0.0785),-136.9027342206447
Square Root with Quadratic Term_0_115,x + cos(2*x),tensor(0.0954),-88.8795009181243
Square Root with Quadratic Term_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281cc880>>
Square Root with Quadratic Term_0_117,2*x**2*sin(x),tensor(0.0814),-126.28219125049996
Square Root with Quadratic Term_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d4820>>
Square Root with Quadratic Term_0_119,x*exp(2*x),tensor(0.0870),-109.0030076368101
Square Root with Quadratic Term_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b6a00>>
Square Root with Quadratic Term_0_121,sinh(x**2)/4,tensor(0.0865),-110.38807151331402
Square Root with Quadratic Term_0_122,4*x**3 + x,tensor(0.0672),-191.763118796653
Square Root with Quadratic Term_0_123,x,tensor(0.0820),-124.3759631863054
Square Root with Quadratic Term_0_124,(x - 1)*sin(x),tensor(0.0910),-98.75337663175664
Square Root with Quadratic Term_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901342e0>>
Square Root with Quadratic Term_0_126,(x + 2)**4,tensor(0.0081),-15163.54773169349
Square Root with Quadratic Term_0_127,sqrt(x) + x,tensor(0.),0
Square Root with Quadratic Term_1_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815bdf0>>
Square Root with Quadratic Term_1_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815b250>>
Square Root with Quadratic Term_1_2,x*atan(3),tensor(0.0810),-127.80544575027938
Square Root with Quadratic Term_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a392e0>>
Square Root with Quadratic Term_1_4,exp(acos(x)),tensor(0.0435),-483.49070902921136
Square Root with Quadratic Term_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815bcd0>>
Square Root with Quadratic Term_1_6,2*x + sin(x),tensor(0.0715),-167.70202463900029
Square Root with Quadratic Term_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f2b0>>
Square Root with Quadratic Term_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68fd30>>
Square Root with Quadratic Term_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f5b0>>
Square Root with Quadratic Term_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68ff10>>
Square Root with Quadratic Term_1_11,1 - x**3,tensor(0.1243),-48.606306116259795
Square Root with Quadratic Term_1_12,3*x*exp(x) + x,tensor(0.0657),-200.93323882789423
Square Root with Quadratic Term_1_13,(4*x**3 + x)*exp(x),tensor(0.0637),-214.7687722048973
Square Root with Quadratic Term_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8100>>
Square Root with Quadratic Term_1_15,cos(2*x + 3)/2,tensor(0.0778),-139.5595791147156
Square Root with Quadratic Term_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8d90>>
Square Root with Quadratic Term_1_17,16*x**4,tensor(0.0526),-323.4233244348727
Square Root with Quadratic Term_1_18,x**2*asinh(x),tensor(0.0833),-120.17520052762566
Square Root with Quadratic Term_1_19,exp(x + 4),tensor(0.0035),-79074.8843220719
Square Root with Quadratic Term_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f940>>
Square Root with Quadratic Term_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f070>>
Square Root with Quadratic Term_1_22,5*x + asin(x),tensor(0.0518),-334.3942025901761
Square Root with Quadratic Term_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558b80>>
Square Root with Quadratic Term_1_24,x**3 + x + 1,tensor(0.1114),-62.652402798968744
Square Root with Quadratic Term_1_25,2*x**3 + x,tensor(0.0755),-148.7415708541102
Square Root with Quadratic Term_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088430>>
Square Root with Quadratic Term_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088a60>>
Square Root with Quadratic Term_1_28,x*(4*x + 2),tensor(0.0983),-83.09583277127253
Square Root with Quadratic Term_1_29,2*x*(x + 3),tensor(0.0566),-276.61970625452307
Square Root with Quadratic Term_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f220>>
Square Root with Quadratic Term_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160130>>
Square Root with Quadratic Term_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160520>>
Square Root with Quadratic Term_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160e50>>
Square Root with Quadratic Term_1_34,cos(x) + 6,tensor(0.0573),-270.03838287448576
Square Root with Quadratic Term_1_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160fa0>>
Square Root with Quadratic Term_1_36,x**2*sin(2),tensor(0.0924),-95.4349465171538
Square Root with Quadratic Term_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2ca9040>>
Square Root with Quadratic Term_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ffb20>>
Square Root with Quadratic Term_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff610>>
Square Root with Quadratic Term_1_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff760>>
Square Root with Quadratic Term_1_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120c10>>
Square Root with Quadratic Term_1_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1202e0>>
Square Root with Quadratic Term_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120160>>
Square Root with Quadratic Term_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1204c0>>
Square Root with Quadratic Term_1_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1205e0>>
Square Root with Quadratic Term_1_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120790>>
Square Root with Quadratic Term_1_47,(x - 1)*exp(x),tensor(0.0659),-199.7881901907194
Square Root with Quadratic Term_1_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e340>>
Square Root with Quadratic Term_1_49,4*x + 3,tensor(0.0963),-87.02513391246953
Square Root with Quadratic Term_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815b8b0>>
Square Root with Quadratic Term_1_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a390a0>>
Square Root with Quadratic Term_1_52,x*(x + 1/2),tensor(0.0924),-95.47558046443511
Square Root with Quadratic Term_1_53,x + cos(x),tensor(0.1120),-61.859815413923734
Square Root with Quadratic Term_1_54,2*x**5 + x + 2,tensor(0.1540),-29.1763474693625
Square Root with Quadratic Term_1_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1205b0>>
Square Root with Quadratic Term_1_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc120d90>>
Square Root with Quadratic Term_1_57,x**2/2 + x,tensor(0.0862),-111.43142476853464
Square Root with Quadratic Term_1_58,(x + 1)**3,tensor(0.0915),-97.61988040285244
Square Root with Quadratic Term_1_59,x**2*(x**3 + x),tensor(0.0814),-126.33062573124963
Square Root with Quadratic Term_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106a30>>
Square Root with Quadratic Term_1_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106df0>>
Square Root with Quadratic Term_1_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81068e0>>
Square Root with Quadratic Term_1_63,(2*x + 1)**2,tensor(0.0837),-118.79445274458541
Square Root with Quadratic Term_1_64,asinh(x + 5),tensor(0.3376),-2.8489173529267195
Square Root with Quadratic Term_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106640>>
Square Root with Quadratic Term_1_66,2*x*(x + cos(x)),tensor(0.0955),-88.7870356737209
Square Root with Quadratic Term_1_67,2*x*exp(5),tensor(0.0014),-479812.8394412519
Square Root with Quadratic Term_1_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4940>>
Square Root with Quadratic Term_1_69,x + cos(x + 3),tensor(0.0648),-207.35280891243573
Square Root with Quadratic Term_1_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a398b0>>
Square Root with Quadratic Term_1_71,1/sin(x),tensor(0.0094),-11009.835093852758
Square Root with Quadratic Term_1_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05a970>>
Square Root with Quadratic Term_1_73,cos(x) + sinh(x),tensor(0.1110),-63.18177024096323
Square Root with Quadratic Term_1_74,2*x**3/3 + x,tensor(0.0802),-130.42495015615833
Square Root with Quadratic Term_1_75,cos(4*x),tensor(0.0778),-139.39263671290803
Square Root with Quadratic Term_1_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160ac0>>
Square Root with Quadratic Term_1_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160f10>>
Square Root with Quadratic Term_1_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160250>>
Square Root with Quadratic Term_1_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160cd0>>
Square Root with Quadratic Term_1_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ff3d0>>
Square Root with Quadratic Term_1_81,x + log(x)**2,tensor(0.),0
Square Root with Quadratic Term_1_82,x*(3*x + 3)**2,tensor(0.0232),-1771.6002131120038
Square Root with Quadratic Term_1_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d4760>>
Square Root with Quadratic Term_1_84,x*exp(-2*x),tensor(0.0570),-272.62458313980073
Square Root with Quadratic Term_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ffee0>>
Square Root with Quadratic Term_1_86,atan(x + 4),tensor(0.1503),-30.972377798351065
Square Root with Quadratic Term_1_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ffa00>>
Square Root with Quadratic Term_1_88,6*x**(5/2),tensor(0.),0
Square Root with Quadratic Term_1_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68fa60>>
Square Root with Quadratic Term_1_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300889a0>>
Square Root with Quadratic Term_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998076c40>>
Square Root with Quadratic Term_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980760d0>>
Square Root with Quadratic Term_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980762e0>>
Square Root with Quadratic Term_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980768e0>>
Square Root with Quadratic Term_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8b20>>
Square Root with Quadratic Term_1_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8520>>
Square Root with Quadratic Term_1_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8880>>
Square Root with Quadratic Term_1_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8b80>>
Square Root with Quadratic Term_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8a00>>
Square Root with Quadratic Term_1_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8fa0>>
Square Root with Quadratic Term_1_101,66*x**4,tensor(0.0119),-6882.292756508514
Square Root with Quadratic Term_1_102,log(4*x**2),tensor(0.0595),-248.62509227572372
Square Root with Quadratic Term_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d46d0>>
Square Root with Quadratic Term_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d40a0>>
Square Root with Quadratic Term_1_105,2*x**2*(x + 2),tensor(0.1057),-70.52676960842278
Square Root with Quadratic Term_1_106,x*(x**4 - x),tensor(0.0752),-150.08352925325536
Square Root with Quadratic Term_1_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25583d0>>
Square Root with Quadratic Term_1_108,x + 5,tensor(0.0963),-87.08673250527625
Square Root with Quadratic Term_1_109,2*x*exp(x) + x,tensor(0.0755),-149.1332985443082
Square Root with Quadratic Term_1_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558df0>>
Square Root with Quadratic Term_1_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25585b0>>
Square Root with Quadratic Term_1_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300880d0>>
Square Root with Quadratic Term_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088970>>
Square Root with Quadratic Term_1_114,-3*x/2,tensor(0.0811),-127.33233412415268
Square Root with Quadratic Term_1_115,x*(x**3 + x),tensor(0.0978),-84.19577191401022
Square Root with Quadratic Term_1_116,5*x**2/2,tensor(0.1060),-70.07110881977985
Square Root with Quadratic Term_1_117,sin(x)**3,tensor(0.0836),-119.16135294188034
Square Root with Quadratic Term_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e430>>
Square Root with Quadratic Term_1_119,log(x**2),tensor(0.0462),-424.90821764747034
Square Root with Quadratic Term_1_120,x + atanh(2*x),tensor(0.),0
Square Root with Quadratic Term_1_121,x**2 + x + 4,tensor(0.1227),-50.08529026392977
Square Root with Quadratic Term_1_122,2*log(x)*sinh(x),tensor(0.),0
Square Root with Quadratic Term_1_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05af10>>
Square Root with Quadratic Term_1_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05aa30>>
Square Root with Quadratic Term_1_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4b50>>
Square Root with Quadratic Term_1_126,5*x**4/2,tensor(0.0953),-89.09592581069896
Square Root with Quadratic Term_1_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab070>>
Square Root with Quadratic Term_2_0,-2*x - 2*exp(x),tensor(0.0431),-492.1126814383849
Square Root with Quadratic Term_2_1,4*x,tensor(0.0643),-210.57769653256253
Square Root with Quadratic Term_2_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106a60>>
Square Root with Quadratic Term_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160280>>
